"QID","countryLabel"
"Q264249","Hungary"
"Q182950","Japan"
"Q197069","Japan"
"Q277763","Japan"
"Q507806","Japan"
"Q557471","Japan"
"Q645476","Japan"
"Q735670","Japan"
"Q70602847","Kingdom of the Netherlands"
"Q834471","Japan"
"Q1136386","Japan"
"Q1137522","Japan"
"Q1203676","Japan"
"Q2446807","Netherlands"
"Q2424733","Japan"
"Q2546072","Japan"
"Q2555911","Japan"
"Q3006679","France"
"Q3197571","Japan"
"Q4764729","Romania"
"Q5183534","People's Republic of China"
"Q4646438","Canada"
"Q4817265","Canada"
"Q4904972","Canada"
"Q5620440","Canada"
"Q5719536","Canada"
"Q5914858","Canada"
"Q7602485","Brazil"
"Q7272955","United Kingdom"
"Q11254473","Japan"
"Q11293936","Japan"
"Q11341740","Japan"
"Q11351288","Japan"
"Q858803","United States of America"
"Q885885","United States of America"
"Q966852","United States of America"
"Q1414376","United States of America"
"Q1469675","United States of America"
"Q4642940","United States of America"
"Q5183495","United States of America"
"Q4976042","Republic of Ireland"
"Q17050703","Japan"
"Q17192511","Japan"
"Q18128040","People's Republic of China"
"Q6421712","United States of America"
"Q6824403","United States of America"
"Q18338847","Japan"
"Q7460427","United States of America"
"Q20061355","Brazil"
"Q8024272","United States of America"
"Q10374807","United States of America"
"Q27017029","Japan"
"Q16995742","United States of America"
"Q28154321","Japan"
"Q17025680","United States of America"
"Q30926347","Japan"
"Q48990121","United Kingdom"
"Q52700115","Japan"
"Q65215544","Hungary"
"Q55408487","United States of America"
"Q61958168","United States of America"
"Q63863205","United States of America"
"Q89358471","United Kingdom"
"Q104636940","Japan"
"Q107411691","Japan"
"Q109596599","Japan"
"Q110211034","France"
"Q112194896","Brazil"
"Q111977173","Japan"
"Q111987294","Japan"
"Q112398048","Japan"
"Q113292557","Finland"
"Q114841765","Hungary"
"Q307291","Japan"
"Q548166","Japan"
"Q1475271","Germany"
"Q813988","Japan"
"Q834328","Japan"
"Q908915","Japan"
"Q947930","Japan"
"Q950479","Japan"
"Q1054807","Japan"
"Q1065717","Japan"
"Q2384794","Germany"
"Q1856977","Poland"
"Q2296673","Japan"
"Q2528458","Japan"
"Q3208516","France"
"Q3033729","Japan"
"Q3299128","Canada"
"Q4889752","Spain"
"Q4765200","Malaysia"
"Q4785214","Canada"
"Q5792085","Spain"
"Q5275866","Japan"
"Q7684281","Japan"
"Q10377464","Brazil"
"Q10565763","Japan"
"Q10392516","South Korea"
"Q127552","United States of America"
"Q11276891","Japan"
"Q11289604","Japan"
"Q11321898","Japan"
"Q341973","United States of America"
"Q515708","United States of America"
"Q527751","United States of America"
"Q774682","United States of America"
"Q1314323","United States of America"
"Q2756484","United States of America"
"Q3113674","United States of America"
"Q3406645","United States of America"
"Q2940649","Republic of Ireland"
"Q3991229","United States of America"
"Q4820339","United States of America"
"Q16159982","South Korea"
"Q17222692","Japan"
"Q17228870","Japan"
"Q7236723","United States of America"
"Q7389505","United States of America"
"Q18667403","Japan"
"Q22126974","Japan"
"Q24867186","Japan"
"Q27017015","Japan"
"Q17182750","United States of America"
"Q30942191","Japan"
"Q21473219","United States of America"
"Q43305302","Japan"
"Q48760815","Japan"
"Q56037094","United Kingdom"
"Q58038886","France"
"Q60463176","Japan"
"Q60714573","Japan"
"Q60986742","Japan"
"Q60991089","Japan"
"Q61141563","Japan"
"Q65085541","Japan"
"Q60338940","United States of America"
"Q64417286","United States of America"
"Q91013231","Germany"
"Q93589992","Japan"
"Q97351938","People's Republic of China"
"Q100791484","Canada"
"Q104589984","Argentina"
"Q107411822","Japan"
"Q107411976","Japan"
"Q110234052","Belgium"
"Q111288732","South Korea"
"Q111978934","Japan"
"Q112650982","South Korea"
"Q113137735","Poland"
"Q113731419","Japan"
"Q115869914","Mexico"
"Q115754491","Japan"
"Q112194892","United States of America"
"Q750168","Austria"
"Q182361","Japan"
"Q496797","France"
"Q421414","Japan"
"Q730179","Japan"
"Q770328","Japan"
"Q960422","Japan"
"Q1051884","Japan"
"Q1173719","Japan"
"Q1323459","Japan"
"Q1377799","Japan"
"Q1403298","Japan"
"Q1649224","Japan"
"Q1938783","Japan"
"Q2295388","Japan"
"Q2296631","Japan"
"Q2296711","Japan"
"Q2467538","Japan"
"Q3217631","Italy"
"Q3998710","Switzerland"
"Q3532077","Japan"
"Q3544094","Japan"
"Q4525026","Russia"
"Q4597604","Japan"
"Q4810903","United Kingdom"
"Q4915907","United Kingdom"
"Q4928707","United Kingdom"
"Q5954322","Japan"
"Q7672604","Japan"
"Q10268810","Brazil"
"Q9347388","Poland"
"Q11200653","Japan"
"Q11311825","Japan"
"Q457893","United States of America"
"Q921556","United States of America"
"Q1047410","United States of America"
"Q13474825","Belgium"
"Q2722120","United States of America"
"Q2777608","United States of America"
"Q3857481","United States of America"
"Q5003579","United States of America"
"Q16828691","Japan"
"Q18388485","France"
"Q20244949","Japan"
"Q25060578","Belgium"
"Q25245277","Germany"
"Q1050337","North Korea"
"Q25103907","South Korea"
"Q28025376","Japan"
"Q16961108","United States of America"
"Q47004383","People's Republic of China"
"Q47004383","Japan"
"Q53308996","Japan"
"Q60715451","Japan"
"Q63645050","Malaysia"
"Q67933716","Japan"
"Q69115457","United Kingdom"
"Q71811168","Japan"
"Q79359940","Japan"
"Q73106316","United States of America"
"Q85869849","Japan"
"Q85874452","Japan"
"Q96249759","Japan"
"Q99304171","Malaysia"
"Q104715113","Spain"
"Q106523287","Japan"
"Q107412052","Japan"
"Q108854946","Bulgaria"
"Q109596926","Japan"
"Q112194893","Italy"
"Q111986134","Japan"
"Q112194895","United Kingdom"
