"FilmID","FilmName","Year","Type","wiki_title","wikibase_item","Studio","Distributor"
"tt0017743","Chang: A Drama of the Wilderness",1927,"movie","Chang: A Drama of the Wilderness","Q1061895","studio = {{ubl|[[Famous Players-Lasky Corporation]]|[[Paramount Famous Lasky Corporation]]}} | ","distributor = [[Paramount Pictures]] | "
"tt0017806","The Devil Dancer",1927,"movie","The Devil Dancer","Q2410828","studio = [[Samuel Goldwyn Productions]] | ","distributor = [[United Artists]] | "
"tt0017822","The Dove",1927,"movie","The Dove (1927 film)","Q1143988",NA,"distributor = [[United Artists]] | "
"tt0017979","The Private Life of Helen of Troy",1927,"movie","The Private Life of Helen of Troy","Q1169646",NA,"distributor = [[First National Pictures]] | "
"tt0018037","The Jazz Singer",1927,"movie","The Jazz Singer","Q465087","studio = {{unbulleted list|[[Warner Bros. Pictures]]|[[The Vitaphone Corporation]]}} | ","distributor = Warner Bros. Pictures | "
"tt0018129","The Magic Flame",1927,"movie","The Magic Flame","Q1694130","studio = [[Samuel Goldwyn Productions]] | ","distributor = [[United Artists]] | "
"tt0018253","The Patent Leather Kid",1927,"movie","The Patent Leather Kid","Q1142900","studio = | ","distributor = [[First National Pictures]] | "
"tt0018379","7th Heaven",1927,"movie","7th Heaven (1927 film)","Q368451",NA,"distributor = [[Fox Film Corporation]] | "
"tt0018389","A Ship Comes In",1928,"movie","A Ship Comes In","Q1219078",NA,"distributor = [[Pathé Exchange]] | "
"tt0018429","Sorrell and Son",1927,"movie","Sorrell and Son (1927 film)","Q1058426",NA,"distributor = [[United Artists]] | "
"tt0018455","Sunrise",1927,"movie","Sunrise: A Song of Two Humans","Q431093","studio = [[Fox Film Corporation]] | ","distributor = Fox Film Corporation | "
"tt0018515","Two Arabian Knights",1927,"movie","Two Arabian Knights","Q374577","studio = The Caddo Company | ","distributor = [[United Artists]] | "
"tt0018526","Underworld",1927,"movie","Underworld (1927 film)","Q1483683",NA,"distributor = [[Paramount Pictures]] | "
"tt0018578","Wings",1927,"movie","Wings (1927 film)","Q272036","studio = [[Paramount Famous Lasky Corporation]] | ","distributor = [[Paramount Pictures]] | "
"tt0018806","The Crowd",1928,"movie","The Crowd (1928 film)","Q1304986","studio = [[Metro-Goldwyn-Mayer]] | ","distributor = Metro-Goldwyn-Mayer | "
"tt0018945","Glorious Betsy",1928,"movie","Glorious Betsy","Q1214459","studio = [[Warner Bros. Pictures]] | ","distributor = Warner Bros. Pictures | "
"tt0019071","The Last Command",1928,"movie","The Last Command (1928 film)","Q466816","studio = [[Famous Players-Lasky|Paramount Famous Lasky Corp.]] | ","distributor = [[Paramount Pictures]] | "
"tt0019217","The Noose",1928,"movie","The Noose (film)","Q252625",NA,"distributor = [[First National Pictures]] | "
"tt0019304","The Racket",1928,"movie","The Racket (1928 film)","Q1434610","studio = [[Howard Hughes|The Caddo Company]] |","distributor = [[Paramount Pictures]] |"
"tt0019344","Sadie Thompson",1928,"movie","Sadie Thompson (film)","Q426472",NA,"distributor = [[United Artists]] | "
"tt0019412","Speedy",1928,"movie","Speedy (film)","Q1246225","studio = Harold Lloyd Corporation | ","distributor = [[Paramount Pictures]] | "
"tt0019429","Street Angel",1928,"movie","Street Angel (1928 film)","Q1077902",NA,"distributor = [[Fox Film Corporation]] | "
"tt0019451","Tempest",1928,"movie","Tempest (1928 film)","Q125925",NA,"distributor = [[United Artists]] | "
"tt0019553","The Way of All Flesh",1927,"movie","The Way of All Flesh (1927 film)","Q979015",NA,"distributor = [[Paramount Pictures]] | "
NA,NA,NA,NA,NA,NA,NA,NA
"tt0018666","The Awakening",1928,"movie","The Awakening (1928 film)","Q528799","studio = [[Samuel Goldwyn Productions]] | ","distributor = [[United Artists]] | "
"tt0018674","The Barker",1928,"movie","The Barker","Q509649","studio = [[First National Pictures]] | ","distributor = [[Warner Bros. Pictures]] | "
"tt0018792","The Cop",1928,"movie","The Cop (1928 film)","Q1315787","studio = [[DeMille Pictures Corporation]] | ","distributor = [[Pathé Exchange]] | "
"tt0018907","4 Devils",1928,"movie","4 Devils","Q1797606","studio = [[Fox Film Corporation|William Fox Studio]] | ","distributor = [[Fox Film Corporation]] | "
"tt0019237","Our Dancing Daughters",1928,"movie","Our Dancing Daughters","Q2041732","studio = [[Cosmopolitan Productions]] | ","distributor = [[Metro-Goldwyn-Mayer]] | "
"tt0019257","The Patriot",1928,"movie","The Patriot (1928 film)","Q1109750",NA,"distributor = [[Paramount Pictures]] | "
"tt0019348","Sal of Singapore",1928,"movie","Sal of Singapore","Q2213722",NA,"distributor = [[Pathe Exchange]] | "
"tt0019398","Skyscraper",1928,"movie","Skyscraper (1928 film)","Q2592510","studio = DeMille Pictures Corporation | ","distributor = [[Pathé Exchange]] | "
"tt0019429","Street Angel",1928,"movie","Street Angel (1928 film)","Q1077902",NA,"distributor = [[Fox Film Corporation]] | "
"tt0019557","Weary River",1929,"movie","Weary River","Q1142877","studio = [[First National Pictures]] | ","distributor = First National Pictures | "
"tt0019574","White Shadows in the South Seas",1928,"movie","White Shadows in the South Seas","Q535195","studio = [[Cosmopolitan Productions]] | ","distributor = [[Metro-Goldwyn-Mayer]] | "
"tt0019591","A Woman of Affairs",1928,"movie","A Woman of Affairs","Q1306853",NA,"distributor = [[Metro-Goldwyn-Mayer]] | "
"tt0019630","Alibi",1929,"movie","Alibi (1929 film)","Q1618533",NA,"distributor = [[United Artists]] | "
"tt0019722","The Bridge of San Luis Rey",1929,"movie","The Bridge of San Luis Rey (1929 film)","Q1404775","studio = [[Metro-Goldwyn-Mayer]] | ","distributor = Metro-Goldwyn-Mayer | "
"tt0019729","The Broadway Melody",1929,"movie","The Broadway Melody","Q463620",NA,"distributor = [[Metro-Goldwyn-Mayer]] | "
"tt0019788","Coquette",1929,"movie","Coquette (film)","Q570506",NA,"distributor = [[United Artists]] | "
"tt0019824","The Divine Lady",1928,"movie","The Divine Lady","Q952079","studio = [[First National Pictures]] | ","distributor = [[Warner Bros.]] | "
"tt0019833","Drag",1929,"movie","Drag (film)","Q1143136","studio = [[First National Pictures]] | ","distributor = [[Warner Bros. Pictures]] | "
"tt0019843","Dynamite",1929,"movie","Dynamite (1929 film)","Q1269007","studio = [[Metro-Goldwyn-Mayer]] | ","distributor = [[Loews Cineplex Entertainment|Loew's Inc.]] | "
"tt0019993","The Hollywood Revue of 1929",1929,"movie","The Hollywood Revue","Q981032",NA,"distributor = [[Metro-Goldwyn-Mayer]] |country = United States |"
"tt0020018","In Old Arizona",1928,"movie","In Old Arizona","Q776337",NA,"distributor = [[Fox Film Corporation]] | "
