"FilmID","FilmName","Year","Type","wiki_title","wikibase_item","Studio","Distributor"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"tt0023854","Building a Building",1933,"movie",NA,NA,NA,NA
"tt0142655","The Merry Old Soul",1933,"movie",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"tt0026880","Popular Science",1935,"movie",NA,NA,NA,NA
"tt0029151","The Little Match Girl",1937,"movie",NA,NA,NA,NA
"tt0029416","Popular Science",1937,"movie",NA,NA,NA,NA
"tt0030250","Hunky and Spunky",1938,"movie",NA,NA,NA,NA
"tt0031227","Detouring America",1939,"movie",NA,NA,NA,NA
"tt0031484","Information Please: Series 1, No. 1",1939,"movie",NA,NA,NA,NA
"tt0033424","Boogie Woogie Bugle Boy of Company 'B'",1941,"movie",NA,NA,NA,NA
"tt0033730","How War Came",1941,"movie",NA,NA,NA,NA
"tt0034098","Rhythm in the Ranks",1941,"movie",NA,NA,NA,NA
"tt0034448","All Out for 'V'",1942,"movie",NA,NA,NA,NA
"tt0034851","High Over the Borders",1942,"movie",NA,NA,NA,NA
"tt0034852","High Stakes in the East",1942,"movie",NA,NA,NA,NA
"tt0034925","Juke Box Jamboree",1942,"movie",NA,NA,NA,NA
"tt0034979","Little Belgium",NA,NA,NA,NA,NA,NA
"tt0034981","Little Isles of Freedom",NA,NA,NA,NA,NA,NA
"tt0035085","Moscow Strikes Back",1942,"movie",NA,NA,NA,NA
"tt0035088","Mr. Blabbermouth!",1942,"movie",NA,NA,NA,NA
"tt0035091","Mister Gardenia Jones",1942,"movie",NA,NA,NA,NA
"tt0035478","Twenty-One Miles",NA,NA,NA,NA,NA,NA
"tt0035536","Paramount Victory Short No. T2-2: We Refuse to Die",1942,"movie",NA,NA,NA,NA
"tt0035554","The White Eagle",1942,"movie",NA,NA,NA,NA
"tt0035602","The 500 Hats of Bartholomew Cubbins",1943,"movie",NA,NA,NA,NA
"tt0035812","The Dizzy Acrobat",1943,"movie",NA,NA,NA,NA
"tt0036035","Imagination",1943,"movie",NA,NA,NA,NA
"tt0036294","Reason and Emotion",1943,"movie",NA,NA,NA,NA
"tt0036601","And to Think That I Saw It on Mulberry Street",1944,"movie",NA,NA,NA,NA
"tt0036652","Blue-Grass Gentlemen",NA,NA,NA,NA,NA,NA
"tt0036658","Bombalera",1945,"movie",NA,NA,NA,NA
"tt0036764","Dog, Cat, and Canary",1945,"movie",NA,NA,NA,NA
"tt0037039","Main Street Today",1944,"movie",NA,NA,NA,NA
"tt0037092","Movie Pests",1944,"movie",NA,NA,NA,NA
"tt0037108","My Boy Johnny",1944,"movie",NA,NA,NA,NA
"tt0037510","Along the Rainbow Trail",1946,"movie",NA,NA,NA,NA
"tt0037547","Blood on the Sun",1945,"movie",NA,NA,NA,NA
"tt0037758","A Gun in His Hand",1945,"movie",NA,NA,NA,NA
"tt0037828","Jasper and the Beanstalk",1945,"movie",NA,NA,NA,NA
"tt0037841","The Jury Goes Round 'n' Round",1945,"movie",NA,NA,NA,NA
"tt0037881","The Little Witch",1945,"movie",NA,NA,NA,NA
"tt0037994","The Poet & Peasant",1945,"movie",NA,NA,NA,NA
"tt0038011","Quiet Please!",1945,"movie",NA,NA,NA,NA
"tt0038028","Rippling Romance",1945,"movie",NA,NA,NA,NA
"tt0038121","Story of a Dog",1945,"movie",NA,NA,NA,NA
"tt0038247","White Rhapsody",1945,"movie",NA,NA,NA,NA
"tt0038265","Your National Gallery",NA,NA,NA,NA,NA,NA
"tt0038421","College Queen",NA,NA,NA,NA,NA,NA
"tt0038483","Dive-Hi Champs",1946,"movie",NA,NA,NA,NA
"tt0038569","Golden Horses",NA,NA,NA,NA,NA,NA
"tt0038602","Hiss and Yell",1946,"movie",NA,NA,NA,NA
"tt0038708","The Luckiest Guy in the World",1947,"movie",NA,NA,NA,NA
"tt0038825","Paramount News Issue #37",1946,"movie",NA,NA,NA,NA
"tt0038953","Smart as a Fox",1946,"movie",NA,NA,NA,NA
"tt0038978","Squatter's Rights",1946,"movie",NA,NA,NA,NA
"tt0038998","Sure Cures",1946,"movie",NA,NA,NA,NA
"tt0039221","Brooklyn, U.S.A.",1947,"movie",NA,NA,NA,NA
"tt0039258","Champagne for Two",1947,"movie",NA,NA,NA,NA
"tt0039338","Dr. Jekyll and Mr. Mouse",1947,"movie",NA,NA,NA,NA
"tt0039379","Fight of the Wild Stallions",1947,"movie",NA,NA,NA,NA
"tt0039425","Give Us the Earth!",1947,"movie",NA,NA,NA,NA
"tt0039633","Moon Rockets",NA,NA,NA,NA,NA,NA
"tt0039671","Now You See It",1947,"movie",NA,NA,NA,NA
"tt0039968","A Voice Is Born",NA,NA,NA,NA,NA,NA
"tt0040101","Annie Was a Wonder",1949,"movie",NA,NA,NA,NA
"tt0040200","Calgary Stampede",1948,"movie",NA,NA,NA,NA
"tt0040233","Cinderella Horse",NA,NA,NA,NA,NA,NA
"tt0040393","Going to Blazes!",1948,"movie",NA,NA,NA,NA
"tt0040741","Robin Hoodlum",1948,"movie",NA,NA,NA,NA
"tt0040756","Samba-Mania",NA,NA,NA,NA,NA,NA
"tt0040813","So You Want to Be on the Radio",1948,"movie",NA,NA,NA,NA
"tt0040981","You Can't Win",1948,"movie",NA,NA,NA,NA
"tt0041202","Boy and the Eagle",1949,"movie",NA,NA,NA,NA
"tt0041242","Chase of Death",NA,NA,NA,NA,NA,NA
"tt0041425","The Grass Is Always Greener",1950,"movie",NA,NA,NA,NA
"tt0041446","Hatch Up Your Troubles",1949,"movie",NA,NA,NA,NA
"tt0041618","The Magic Fluke",1949,"movie",NA,NA,NA,NA
"tt0041889","Snow Carnival",1949,"movie",NA,NA,NA,NA
"tt0041892","So You Think You're Not Guilty",1950,"movie",NA,NA,NA,NA
"tt0041912","Spills and Chills",1949,"movie",NA,NA,NA,NA
"tt0042034","Water Trix",1949,"movie",NA,NA,NA,NA
"tt0042520","Grandma Moses",1950,"movie",NA,NA,NA,NA
