"QID","eidrparty"
"Q43082788","10.5237/47C0-F5BB"
"Q47088762","10.5237/4072-4287"
"Q65557474","10.5237/06DC-BE7D"
"Q3884","10.5237/B3B3-A6AC"
"Q11224","10.5237/892E-6BA6"
"Q72080171","10.5237/F963-D921"
"Q78458869","10.5237/0895-AC45"
"Q101238787","10.5237/AEF5-A228"
"Q105046172","10.5237/9F1A-90C4"
"Q106690231","10.5237/B729-5B5C"
"Q107214918","10.5237/523C-B4F2"
"Q107528521","10.5237/5A90-96DB"
"Q108286784","10.5237/D3F9-8764"
"Q110688188","10.5237/CB45-BA48"
"Q112745539","10.5237/63A9-D284"
"Q116257582","10.5237/BC9C-296D"
"Q120763917","10.5237/8B22-A036"
"Q121034205","10.5237/D9C6-0CD1"
"Q121035287","10.5237/6FF1-902D"
"Q65589412","10.5237/93CE-B180"
"Q127552","10.5237/C844-63E8"
"Q131439","10.5237/A782-FF29"
"Q141336","10.5237/6CD1-7746"
"Q159846","10.5237/C5C0-F4BC"
"Q168383","10.5237/AE5F-6ABB"
"Q179200","10.5237/169B-EDEB"
"Q191224","10.5237/6163-CF6A"
"Q207460","10.5237/7E95-3903"
"Q219400","10.5237/D893-0AC2"
"Q267282","10.5237/CE58-0503"
"Q367466","10.5237/7394-6CDD"
"Q434841","10.5237/2FE2-24F2"
"Q428457","10.5237/AF28-2559"
"Q461761","10.5237/986A-BB47"
"Q547341","10.5237/6F15-A1C4"
"Q621231","10.5237/4FB5-C9C7"
"Q724759","10.5237/D7DC-E2D3"
"Q875920","10.5237/63B4-FF4A"
"Q907311","10.5237/7E20-E6FF"
"Q1156642","10.5237/D0FA-BE0D"
"Q1243548","10.5237/1A91-FAC0"
"Q1314323","10.5237/9B4D-B908"
"Q1320443","10.5237/0BBC-2AD8"
"Q1369459","10.5237/7482-D86E"
"Q1416835","10.5237/1854-12B6"
"Q1445805","10.5237/3267-93D9"
"Q1506909","10.5237/FC13-2CBB"
"Q1530721","10.5237/4A22-0B90"
"Q1544011","10.5237/0BAA-566A"
"Q1607312","10.5237/3DD8-BC9D"
"Q1885099","10.5237/0DD7-B8C0"
"Q1936485","10.5237/6514-3E35"
"Q1938662","10.5237/1CE7-308A"
"Q2367528","10.5237/D08A-23C7"
"Q2576666","10.5237/57E7-C2B6"
"Q2568777","10.5237/13D8-B3C2"
"Q2866005","10.5237/4CB7-782C"
"Q2924461","10.5237/7B57-B4BC"
"Q2973229","10.5237/A893-575B"
"Q3041471","10.5237/52FF-6CED"
"Q3211378","10.5237/191A-8AFB"
"Q3305015","10.5237/EA24-D616"
"Q4740868","10.5237/9D7D-E9D9"
"Q4736749","10.5237/3D9C-4375"
"Q4817412","10.5237/7083-B735"
"Q4820037","10.5237/A61D-F4BA"
"Q4824147","10.5237/1642-4C29"
"Q4824145","10.5237/9C8A-EC4D"
"Q4985726","10.5237/CE44-E77A"
"Q5191876","10.5237/D76D-AFF0"
"Q5276759","10.5237/C2D9-504D"
"Q5436183","10.5237/9DC9-BD68"
"Q5449048","10.5237/1EF2-2384"
"Q5452059","10.5237/CCA6-5D6A"
"Q5467439","10.5237/9D34-380E"
"Q5492455","10.5237/1A01-7267"
"Q5571070","10.5237/D181-6726"
"Q5613168","10.5237/0A90-C9EB"
"Q5984808","10.5237/07E0-F83F"
"Q6703227","10.5237/6AFC-C142"
"Q6744471","10.5237/9D99-AC8F"
"Q7168755","10.5237/AB71-8FC5"
"Q7249852","10.5237/06A9-5032"
"Q7270938","10.5237/D608-2FA6"
"Q7406084","10.5237/7534-BCD2"
"Q7566109","10.5237/B0B2-C2B3"
"Q8034908","10.5237/7ACE-94C7"
"Q10590609","10.5237/6665-69A3"
"Q12021499","10.5237/81E9-D52F"
"Q13416804","10.5237/6B2E-D421"
"Q16248298","10.5237/4C1A-F6C8"
"Q17034359","10.5237/5E6C-A16C"
"Q17109548","10.5237/719C-D805"
"Q17112076","10.5237/EF0E-0EA9"
"Q18411902","10.5237/E74B-ECEE"
"Q19839170","10.5237/51CF-78DB"
"Q21013766","10.5237/E2A4-B489"
"Q21290667","10.5237/E0F8-81F3"
"Q24928644","10.5237/A771-6D00"
"Q31197934","10.5237/23A2-7A4B"
"Q47509008","10.5237/76F8-E9B7"
"Q56441393","10.5237/319F-BC98"
"Q64976001","10.5237/FB99-C583"
"Q72550550","10.5237/61BF-4CDF"
"Q77978638","10.5237/007B-E6EC"
"Q78297902","10.5237/1D42-61AB"
"Q78298840","10.5237/E445-5AED"
"Q78344865","10.5237/8019-9445"
"Q78457904","10.5237/3E35-3A93"
"Q78476123","10.5237/942E-241F"
"Q78523517","10.5237/5A1C-F686"
"Q78627378","10.5237/48B3-BF3F"
"Q78992365","10.5237/08F5-56EF"
"Q79617105","10.5237/DFB8-BBFA"
"Q80661712","10.5237/402A-4003"
"Q80803713","10.5237/B4C2-2BD9"
"Q88968974","10.5237/1764-2BB5"
"Q89014077","10.5237/6AAA-000C"
"Q89029986","10.5237/4007-E4B0"
"Q90924212","10.5237/6E1A-28B0"
"Q91335716","10.5237/8517-D846"
"Q96111659","10.5237/8B59-76A2"
"Q97958214","10.5237/7D6B-9538"
"Q98056205","10.5237/94B5-06D5"
"Q98215772","10.5237/595F-9D16"
"Q100430919","10.5237/E62E-DFB5"
"Q100600680","10.5237/BC60-E8DB"
"Q101238823","10.5237/3B7A-6940"
"Q101480209","10.5237/EB43-2349"
"Q104804879","10.5237/4414-8CC3"
"Q107022380","10.5237/0214-E835"
"Q107167389","10.5237/C63A-E8F1"
"Q107172699","10.5237/E4E4-54C6"
"Q107212543","10.5237/A745-17EC"
"Q107575851","10.5237/3C8A-BE53"
"Q107587999","10.5237/C26D-3F66"
"Q107620618","10.5237/5831-5F26"
"Q107641719","10.5237/D7BA-F744"
"Q108183211","10.5237/5149-E40F"
"Q109257542","10.5237/5F1A-4F76"
"Q111195537","10.5237/4074-A856"
"Q112750169","10.5237/7FD6-24B4"
"Q116700730","10.5237/10AD-C8A1"
"Q117473461","10.5237/8589-C326"
"Q121222582","10.5237/2C0F-7C17"
"Q117555","10.5237/7DB4-365F"
"Q618489","10.5237/1F27-AD69"
"Q1491737","10.5237/BFAB-7B0C"
"Q1891982","10.5237/BE52-2E4A"
"Q2363431","10.5237/FDF1-5C07"
"Q2399565","10.5237/5064-084A"
"Q2740839","10.5237/9BA3-D781"
"Q2828222","10.5237/C54C-EAC4"
"Q2850600","10.5237/4F99-671F"
"Q2861044","10.5237/3D43-5BFB"
"Q2864822","10.5237/B10D-DA0F"
"Q2864832","10.5237/14C3-C792"
"Q2869410","10.5237/590C-1016"
"Q2943613","10.5237/32E9-A610"
"Q2989909","10.5237/CAF9-6A14"
"Q3049217","10.5237/EB90-74DA"
"Q3071502","10.5237/AA86-74ED"
"Q3128481","10.5237/C1E0-86C6"
"Q3146538","10.5237/A2C4-5EF1"
"Q3211552","10.5237/54B3-D730"
"Q3230674","10.5237/1CD9-2BB9"
"Q3232636","10.5237/5AB5-D2B0"
