"QID","itemLabel","itemDescription","article"
"Q190473","Zentralfilmgesellschaft Ost","War propaganda production company during WW2",NA
"Q771272","Worldvision Enterprises","American television program distributor","https://en.wikipedia.org/wiki/Worldvision_Enterprises"
"Q169889","American Broadcasting Company","American broadcast television network owned by The Walt Disney Company","https://en.wikipedia.org/wiki/American_Broadcasting_Company"
"Q775450","Lightstorm Entertainment","American production company","https://en.wikipedia.org/wiki/Lightstorm_Entertainment"
"Q704497","Arsenal",NA,NA
"Q75533","National Film Development Corporation of India","Indian government agency to faciliate quality cinema","https://en.wikipedia.org/wiki/National_Film_Development_Corporation_of_India"
"Q117555","Nimbus Film","film production company","https://en.wikipedia.org/wiki/Nimbus_Film"
"Q645478","Mutant Enemy Productions","television production company","https://en.wikipedia.org/wiki/Mutant_Enemy_Productions"
"Q369786","Escape Artists","film production company","https://en.wikipedia.org/wiki/Escape_Artists"
"Q273419","Eclair","former film production company","https://en.wikipedia.org/wiki/Eclair_(company)"
"Q158478","Lenfilm","Russian production company and film studio","https://en.wikipedia.org/wiki/Lenfilm"
"Q79202","New Line Cinema","American film studio","https://en.wikipedia.org/wiki/New_Line_Cinema"
"Q262930","coop99","film production company",NA
"Q186941","Columbia Pictures","American film production and distribution studio","https://en.wikipedia.org/wiki/Columbia_Pictures"
"Q127552","Pixar","American computer animation studio","https://en.wikipedia.org/wiki/Pixar"
"Q192557","DreamWorks","American film studio","https://en.wikipedia.org/wiki/DreamWorks_Pictures"
"Q266276","Action Concept","German film production company based in Hürth",NA
"Q200976","Associated British Picture Corporation","film production company","https://en.wikipedia.org/wiki/Associated_British_Picture_Corporation"
"Q650331","Metro Pictures","film production company in the silent film era","https://en.wikipedia.org/wiki/Metro_Pictures"
"Q267282","RKO Pictures","American film production and distribution company","https://en.wikipedia.org/wiki/RKO_Pictures"
"Q279622","A1Plus Film Production","film production company",NA
"Q219400","United Artists Corporation","American moving image production and distribution company (founded 1919)","https://en.wikipedia.org/wiki/United_Artists"
"Q201487","Nikkatsu","Japanese film and television production company","https://en.wikipedia.org/wiki/Nikkatsu"
"Q177955","SF Studios","Swedish film production company, distributor and movie theatre chain","https://en.wikipedia.org/wiki/SF_Studios"
"Q141336","Mosfilm","Soviet and Russian film company","https://en.wikipedia.org/wiki/Mosfilm"
"Q644711","Flower Films","film production company founded by Drew Barrymore with Nancy Juvonen","https://en.wikipedia.org/wiki/Flower_Films"
"Q141712","Maharashtra Film Company","film production company","https://en.wikipedia.org/wiki/Maharashtra_Film_Company"
"Q179200","Metro-Goldwyn-Mayer","American film and television company","https://en.wikipedia.org/wiki/Metro-Goldwyn-Mayer"
"Q191158","Zentropa","Danish film company","https://en.wikipedia.org/wiki/Zentropa"
"Q242446","Lucasfilm","American film and television production company","https://en.wikipedia.org/wiki/Lucasfilm"
"Q341134","Česká televize","public television broadcaster in the Czech Republic","https://en.wikipedia.org/wiki/Czech_Television"
"Q731055","Askania Media","film production company",NA
"Q648034","Bavaria Film","German film production company","https://en.wikipedia.org/wiki/Bavaria_Film"
"Q301092","Aardman Animations","British animation studio","https://en.wikipedia.org/wiki/Aardman_Animations"
"Q771529","Prometheus Film","film production company",NA
"Q159846","Paramount Pictures","American film studio, subsidiary of Paramount Global","https://en.wikipedia.org/wiki/Paramount_Pictures"
"Q126399","Warner Bros.","American entertainment company","https://en.wikipedia.org/wiki/Warner_Bros."
"Q651454","TriStar Pictures","film production/distribution studio owned by Sony","https://en.wikipedia.org/wiki/TriStar_Pictures"
"Q649649","Focus Features","art house films division of NBCUniversal","https://en.wikipedia.org/wiki/Focus_Features"
"Q679912","Soyuzmultfilm","Soviet animation studio","https://en.wikipedia.org/wiki/Soyuzmultfilm"
"Q682748","Platinum Dunes","film production company in Los Angeles, California, USA","https://en.wikipedia.org/wiki/Platinum_Dunes"
"Q662081","HBO Films","film production company","https://en.wikipedia.org/wiki/HBO_Films"
"Q116439","Lubin Manufacturing Company","American silent film production company","https://en.wikipedia.org/wiki/Lubin_Manufacturing_Company"
"Q676498","CCC Film","film production company","https://en.wikipedia.org/wiki/CCC_Film"
"Q367466","Marvel Studios","American film and television production company","https://en.wikipedia.org/wiki/Marvel_Studios"
"Q219135","Eon Productions","British film production company known for producing the James Bond film series","https://en.wikipedia.org/wiki/Eon_Productions"
"Q72081","Ealing Studios","television and film production company/studio (until 1956 at the same location)","https://en.wikipedia.org/wiki/Ealing_Studios"
"Q191224","Walt Disney Pictures","American film studio and a subsidiary of Walt Disney Studios","https://en.wikipedia.org/wiki/Walt_Disney_Pictures"
"Q798768","Bad Robot Productions","American film and television production company","https://en.wikipedia.org/wiki/Bad_Robot_Productions"
