"QID","imdb"
"Q169889","co0037052"
"Q186941","co0071509"
"Q192557","co0040938"
"Q273419","co0071911"
"Q626185","co0188167"
"Q117555","co0018704"
"Q127552","co0017902"
"Q158478","co0075541"
"Q158478","co0114119"
"Q179200","co0020206"
"Q640786","co0019150"
"Q75533","co0007480"
"Q191224","co0008970"
"Q201487","co0022792"
"Q219135","co0054040"
"Q242446","co0071326"
"Q191158","co0136662"
"Q200976","co0103059"
"Q219400","co0026841"
"Q644711","co0148520"
"Q116439","co0068471"
"Q177955","co0050989"
"Q79202","co0046718"
"Q168383","co0005073"
"Q622848","co0040620"
"Q626323","co0037043"
"Q645478","co0009514"
"Q645478","co0242875"
"Q141336","co0024010"
"Q159846","co0023400"
"Q301092","co0103531"
"Q632323","co0046206"
"Q72081","co0098353"
"Q262930","co0018526"
"Q621364","co0159111"
"Q624886","co0314851"
"Q72081","co0040024"
"Q126399","co0002663"
"Q141336","co0917448"
"Q141336","co0005475"
"Q167186","co0059975"
"Q179200","co0007143"
"Q186941","co0050868"
"Q192557","co0819670"
"Q219400","co0289659"
"Q200976","co0103091"
"Q267282","co0041421"
"Q141712","co0008753"
"Q341134","co0033780"
"Q279622","co0073016"
"Q642996","co0018897"
"Q1047410","co0074039"
"Q841730","co0036246"
"Q953040","co0028932"
"Q953040","co0781820"
"Q718996","co0003659"
"Q771272","co0080243"
"Q892897","co0086678"
"Q984047","co0147954"
"Q1026988","co0067041"
"Q1033488","co0103514"
"Q650331","co0042390"
"Q651454","co0005883"
"Q771529","co0142233"
"Q812893","co0097246"
"Q880187","co0036089"
"Q891732","co0001995"
"Q1047410","co0075995"
"Q7414","co0044374"
"Q648034","co0001429"
"Q676498","co0028037"
"Q678058","co0046151"
"Q798768","co0021593"
"Q878698","co0055954"
"Q1033465","co0111886"
"Q885885","co0047265"
"Q915718","co0065717"
"Q1012251","co0114132"
"Q649649","co0042399"
"Q775450","co0038663"
"Q822314","co0026545"
"Q947354","co0128798"
"Q951774","co0042559"
"Q662081","co0005861"
"Q842482","co0005031"
"Q908662","co0019626"
"Q913462","co0178269"
"Q963204","co0094849"
"Q971446","co0103694"
"Q1044291","co0094459"
"Q679912","co0840099"
"Q682748","co0071240"
"Q704497","co0003008"
"Q825291","co0227121"
"Q835486","co0083946"
"Q1022286","co0075448"
"Q1030364","co0081831"
"Q648034","co0011145"
"Q649649","co0043969"
"Q662081","co0095169"
"Q812893","co0064908"
"Q827462","co0177182"
"Q913462","co0172053"
"Q971446","co0844776"
"Q922453","co0040322"
"Q877706","co0211260"
"Q858937","co0020879"
"Q886871","co0277278"
"Q1012251","co0114114"
"Q968448","co0032235"
"Q369786","co0035535"
"Q462288","co0065227"
"Q515708","co0112669"
"Q547341","co0130412"
"Q609069","co0021154"
"Q618489","co0049648"
"Q495396","co0020261"
"Q540122","co0130901"
"Q564960","co0002257"
"Q577589","co0023958"
"Q577589","co0034492"
"Q577589","co0114161"
"Q1054807","co0133168"
"Q1111024","co0034438"
"Q1128577","co0030036"
"Q434841","co0000756"
"Q457893","co0009119"
"Q465449","co0022594"
"Q467348","co0020958"
"Q470851","co0059622"
"Q540172","co0088100"
"Q466459","co0021592"
"Q474369","co0094555"
"Q500088","co0129164"
"Q541569","co0313126"
"Q441021","co0137446"
"Q477943","co0057712"
"Q497155","co0049348"
"Q595808","co0067065"
"Q439623","co0252024"
"Q456294","co0011112"
"Q567633","co0017525"
"Q1124579","co0071452"
"Q465224","co0062707"
"Q465832","co0032679"
"Q511731","co0003687"
"Q557387","co0011134"
"Q606359","co0075442"
"Q618491","co0069575"
"Q1088324","co0030143"
"Q367466","co0051941"
"Q512858","co0031181"
"Q551580","co0065087"
"Q601408","co0122159"
"Q618091","co0073081"
"Q488710","co0114108"
"Q434841","co0781821"
"Q456294","co0258862"
"Q456294","co0054562"
"Q462288","co0034385"
"Q465893","co0992946"
"Q465224","co0022781"
"Q434841","co0103215"
"Q497155","co0925713"
"Q511731","co0310123"
"Q426078","co0366284"
"Q492725","co0246959"
"Q567633","co0497558"
"Q615141","co0014629"
"Q1243548","co0009445"
"Q1290581","co0033981"
"Q1302030","co0012925"
"Q1317176","co0219009"
"Q1414782","co0096009"
"Q24679","co0046754"
"Q1166160","co0050870"
"Q1250181","co0050385"
"Q1348264","co0076240"
"Q1416899","co0043853"
"Q1418294","co0063434"
"Q1433745","co0103101"
"Q1434607","co0071750"
"Q1149935","co0108372"
"Q1172062","co0032224"
"Q1189512","co0221986"
"Q1207592","co0078768"
"Q1283484","co0074787"
"Q1404450","co0123433"
"Q1415064","co0148492"
"Q23633","co0006163"
"Q1148711","co0179341"
"Q1188938","co0019968"
"Q1265201","co0027171"
"Q1303835","co0024573"
"Q1369459","co0071676"
"Q1370297","co0010568"
"Q1399331","co0203140"
"Q1445805","co0234956"
"Q1138658","co0029134"
"Q1146587","co0070177"
"Q1163074","co0209877"
"Q1188369","co0041460"
"Q1204077","co0038131"
"Q1320443","co0014453"
"Q1321379","co0005323"
"Q1421572","co0028527"
"Q1432993","co0093385"
"Q1475799","co0193923"
"Q1491737","co0058643"
"Q1136177","co0073404"
"Q1136277","co0103051"
"Q1235358","co0064001"
"Q1286620","co0042448"
"Q1375196","co0048273"
"Q1402636","co0133535"
"Q1402681","co0065798"
"Q1418400","co0026198"
"Q1475707","co0065872"
"Q1485801","co0209646"
"Q1152927","co0140250"
"Q1254356","co0076073"
"Q1262133","co0035815"
"Q1347462","co0087404"
"Q1368540","co0079753"
"Q1459090","co0042909"
"Q1138789","co0150452"
"Q1337744","co0122165"
"Q1257223","co0078062"
"Q1161600","co0014531"
"Q1131926","co0123730"
"Q1188369","co0051651"
"Q1183541","co0052706"
"Q1314010","co0078393"
"Q1324070","co0006440"
"Q1415344","co0057746"
"Q1374901","co0147346"
"Q1386879","co0038947"
"Q1415728","co0011287"
"Q1350785","co0357440"
"Q1433745","co0060069"
"Q1384900","co0051628"
"Q1390788","co0093011"
"Q1479555","co0222265"
"Q1414446","co0117761"
"Q1476080","co0008448"
"Q28252","co0136967"
"Q41468","co0021661"
"Q48340","co0165168"
"Q1521102","co0126058"
"Q1584258","co0033421"
"Q1607312","co0005584"
"Q1626895","co0036575"
"Q1756713","co0074827"
"Q1865797","co0067818"
"Q1532120","co0039876"
"Q1534882","co0192734"
"Q1646069","co0001577"
"Q1646069","co0117077"
"Q1778957","co0054961"
"Q1864936","co0147111"
"Q1498882","co0070355"
"Q1506909","co0035761"
"Q1535788","co0021421"
"Q1636748","co0228078"
"Q1654103","co0057495"
"Q1790458","co0031158"
"Q1530721","co0075703"
"Q1539596","co0174621"
"Q1748725","co0018020"
"Q1785723","co0141305"
"Q1494465","co0045248"
"Q1643954","co0193978"
"Q1696916","co0077190"
"Q1538543","co0020298"
"Q1543194","co0103629"
"Q1544011","co0022869"
"Q1544011","co0068747"
"Q1585284","co0117726"
"Q1633138","co0010270"
"Q1651169","co0092541"
"Q1579809","co0063961"
"Q1637250","co0073388"
"Q1674641","co0133372"
"Q1688330","co0041387"
"Q1706678","co0132161"
"Q1722143","co0003271"
"Q1785329","co0004265"
"Q1535837","co0054991"
"Q1584317","co0059609"
"Q1745453","co0018344"
"Q1755165","co0137447"
"Q1795301","co0033088"
"Q1530721","co0006414"
"Q1544011","co0039864"
"Q1544011","co0074790"
"Q1544011","co0108804"
"Q1568192","co0019661"
"Q1535748","co0196361"
"Q1536079","co0127501"
"Q1524732","co1012051"
"Q1595525","co0353758"
"Q1620386","co0289524"
"Q1652795","co0892368"
"Q1667339","co0214090"
"Q1668085","co0370259"
"Q1715802","co0135436"
"Q1718404","co0633501"
"Q1750213","co0092195"
"Q1752263","co0368981"
"Q1793325","co0084007"
"Q1584115","co0020263"
"Q1584115","co0215645"
"Q1584115","co0550008"
"Q1906017","co0165404"
"Q2121008","co0106948"
"Q2134649","co0043143"
"Q2554119","co0047611"
"Q1924930","co0159972"
"Q1938662","co0131103"
"Q1938797","co0085725"
"Q2363431","co0069857"
"Q2367528","co0031361"
"Q2384316","co0012524"
"Q2407366","co0128311"
"Q1979907","co0032104"
"Q2085058","co0241782"
"Q2245650","co0110977"
"Q2495083","co0072187"
"Q1868978","co0103018"
"Q1871246","co0073896"
"Q1891982","co0060132"
"Q1891982","co0210027"
"Q2098061","co0001172"
"Q2107384","co0068224"
"Q2148492","co0043072"
"Q2155901","co0055424"
"Q2248741","co0042362"
"Q2293215","co0285072"
"Q2407055","co0108965"
"Q2366570","co0745642"
"Q2376192","co0013844"
"Q2381773","co0036615"
"Q2579492","co0022730"
"Q1941221","co0108672"
"Q1971240","co0111038"
"Q1982923","co0086351"
"Q2012913","co0093748"
"Q2079232","co0010750"
"Q2450848","co0047476"
"Q2568272","co0312451"
"Q1881803","co0000275"
"Q1917021","co0046621"
"Q1975431","co0114188"
"Q2060840","co0057311"
"Q2170665","co0352959"
"Q2385609","co0062510"
"Q2439811","co0011837"
"Q2439811","co0160535"
"Q2014391","co0079417"
"Q2108391","co0088274"
"Q2138792","co0045569"
"Q2399565","co0056165"
"Q2415769","co0159772"
"Q1983457","co0030612"
"Q1983457","co0106129"
"Q1936615","co0009796"
"Q1936485","co0141205"
"Q1936629","co0112435"
"Q2002864","co0089811"
"Q2103056","co0032413"
"Q2111697","co0183431"
"Q2114144","co0030682"
"Q2124068","co1015642"
"Q2232074","co0299288"
"Q2371191","co0103083"
"Q2250686","co0637266"
"Q2407366","co0055367"
"Q2449483","co0000316"
"Q2375674","co0098640"
"Q2358680","co0390645"
"Q2358685","co0916645"
"Q2358689","co0017971"
"Q2450848","co0463976"
"Q2386906","co0195699"
"Q2378685","co0054381"
"Q2398333","co0041819"
"Q2406996","co0134350"
"Q2568272","co0008261"
"Q2451857","co0159478"
"Q2568777","co0064746"
"Q2644123","co0028775"
"Q2595160","co0160661"
"Q2601340","co0199208"
"Q2702789","co0142678"
"Q2748604","co0001935"
"Q2748604","co0643180"
"Q2748604","co0646023"
"Q2858710","co0088354"
"Q2892410","co0042742"
"Q2900022","co0044017"
"Q3046330","co0008159"
"Q3067564","co0065427"
"Q2816944","co0127559"
"Q2833663","co0068321"
"Q2930935","co0095557"
"Q3008749","co0033437"
"Q3020149","co0066458"
"Q2669403","co0073417"
"Q2703403","co0037554"
"Q2722120","co0042369"
"Q2748878","co0086262"
"Q2754549","co0014426"
"Q2866005","co0036163"
"Q2873244","co0076116"
"Q2910457","co0015762"
"Q3010012","co0058013"
"Q2793276","co0132772"
"Q2861046","co0147189"
"Q2869410","co0020920"
"Q2963175","co0049807"
"Q3005562","co0012382"
"Q2698248","co0106448"
"Q2823598","co0044578"
"Q2875131","co0114122"
"Q2926174","co0000858"
"Q2931045","co0047306"
"Q2996935","co0142408"
"Q3011043","co0054813"
"Q2816945","co0069569"
"Q2861044","co0048010"
"Q2865801","co0014903"
"Q2893565","co0018934"
"Q2973229","co0021150"
"Q2973229","ev0005696"
"Q2719775","co0075704"
"Q2756503","co0103050"
"Q2856187","co0194736"
"Q2902139","co0148020"
"Q2910219","co0136751"
"Q2945566","co0042307"
"Q3011104","co0874902"
"Q3060585","co0001755"
"Q2649438","co0142434"
"Q2740839","co0037775"
"Q2906631","co0054054"
"Q2938735","co0066515"
"Q2973049","co0017285"
"Q2943613","co0285367"
"Q2864822","co0063732"
"Q2669403","co0000700"
"Q2714630","co0086710"
"Q2796478","co0006475"
"Q2873053","co0131113"
"Q2873244","co0059675"
"Q2901576","co0112321"
"Q2925731","co0103038"
"Q2823848","co0251553"
"Q2850090","co0205979"
"Q2826544","co0111494"
