"QID","value"
"Q595","10.5240/9AEF-D367-C3C0-A851-7D02-7"
"Q3997","10.5240/1C90-CAD0-067F-0F0D-19AE-6"
"Q2345","10.5240/F27A-5E7A-4C4F-D54F-4728-0"
"Q4466","10.5240/3213-896C-EC0C-73D0-9F35-Y"
"Q11618","10.5240/3FC7-59D2-B863-8380-9BAB-W"
"Q16453","10.5240/7E53-50A7-C797-0379-5804-2"
"Q12018","10.5240/D4DA-0A2E-A2E5-3DBF-DD5A-P"
"Q16403","10.5240/F8B0-45A2-9AF3-148F-4BE6-0"
"Q27178","10.5240/0ABA-F172-B445-8157-37A3-K"
"Q20456","10.5240/130A-52C5-74AD-19A5-E7FD-F"
"Q25552","10.5240/1DDA-7D04-2AB9-5339-7D31-L"
"Q18431","10.5240/23EF-67BF-1F44-AA71-1934-V"
"Q24075","10.5240/2AC2-9FF9-ED94-F927-5312-X"
"Q26162","10.5240/32FC-6484-9805-6BB3-6BC0-Z"
"Q18428","10.5240/4137-299E-7FEA-677B-ED30-H"
"Q23771","10.5240/425B-AC23-35D8-7792-4293-P"
"Q25511","10.5240/428B-9ABE-BB4F-82D3-7383-C"
"Q23831","10.5240/4EFA-6EE4-9893-3604-E808-G"
"Q26970","10.5240/5B3C-D97A-0A49-CDD0-B740-4"
"Q25617","10.5240/628E-506C-499B-5AC2-76E9-L"
"Q18403","10.5240/6D88-2752-FBAF-67F4-728D-0"
"Q18967","10.5240/707B-FD7B-668E-DEEB-2A47-M"
"Q18331","10.5240/7E83-A7ED-B2FD-60D2-113D-A"
"Q22432","10.5240/9240-CBB0-D113-420B-3B8D-J"
"Q24980","10.5240/9378-EC18-6EF3-A247-8111-K"
"Q18415","10.5240/970F-2BC7-F44B-831B-175F-V"
"Q18402","10.5240/B3D3-37AF-1809-9A41-7D55-2"
"Q24522","10.5240/BDDB-F04A-C9CE-4321-2706-Y"
"Q24871","10.5240/C840-E543-A58F-5C59-1B1C-T"
"Q19322","10.5240/D1DF-5D0F-0AA9-12C3-B87E-0"
"Q33109","10.5240/1132-C761-6963-46D4-4442-F"
"Q43228","10.5240/1414-A2CC-EB42-E7C8-6D6A-D"
"Q38365","10.5240/1E61-85AA-856C-8558-2A5F-7"
"Q40115","10.5240/346D-B039-14C3-4B80-1842-X"
"Q29313","10.5240/3B18-DB9E-A95E-543D-94B9-E"
"Q38815","10.5240/3C81-C390-F405-32F3-20B1-9"
"Q39975","10.5240/4BF2-AC42-2FC0-53D9-B242-R"
"Q31198","10.5240/51BA-C9EE-5A01-5E03-381F-A"
"Q38374","10.5240/7A5B-2DB7-8CEE-4660-59F7-S"
"Q32241","10.5240/8155-AD87-8DF3-9DFC-0C22-7"
"Q29603","10.5240/93C8-3B9C-81AC-E41A-6419-D"
"Q41132","10.5240/9792-4CC4-ED9B-1790-4D6A-O"
"Q29816","10.5240/97B8-864C-BC19-7670-EA73-0"
"Q31413","10.5240/B3C0-675C-82EB-30D3-EC0F-1"
"Q41483","10.5240/D6B6-AB10-EFEB-7528-9A7D-X"
"Q41586","10.5240/E242-0DF7-68AF-6B20-4078-O"
"Q46386","10.5240/1053-0298-2C6A-2283-3A92-U"
"Q44085","10.5240/3025-0D3A-25E1-751C-9D14-J"
"Q44447","10.5240/34F8-8E96-7B69-74B1-B055-Y"
"Q43968","10.5240/3EA7-F384-62C1-2293-0D96-D"
"Q54971","10.5240/4578-BCE2-45B4-199B-7A12-N"
"Q45384","10.5240/4F8F-72B9-00B4-2D3A-607D-5"
"Q47296","10.5240/5DB7-D159-104A-4076-34AE-X"
"Q49410","10.5240/5DEE-4DF8-B00B-69A9-7D4B-I"
"Q45304","10.5240/755E-21D3-930B-2865-65FB-L"
"Q50714","10.5240/772C-4F5A-AB08-1465-F4E7-2"
"Q54982","10.5240/864A-71D9-B527-BB89-D8AD-V"
"Q46361","10.5240/A719-E4AB-9411-A8D4-7750-0"
"Q51757","10.5240/BF2F-CB2E-9B34-F19A-0C10-V"
"Q58439","10.5240/C316-D3F9-3410-4BAC-B40F-D"
"Q51732","10.5240/C846-108F-0D94-7EBB-2167-9"
"Q46568","10.5240/CAD9-3271-0644-C12E-26C3-A"
"Q48697","10.5240/D9C0-6FFB-09FC-E722-0E60-Q"
"Q59249","10.5240/0E84-47D3-1C8B-9284-6FBB-3"
"Q61696","10.5240/1FB4-9782-E28C-A419-FE4A-T"
"Q59722","10.5240/3766-72FA-2B4D-23F4-F607-K"
"Q62350","10.5240/3B04-1A47-C0E4-4A15-ADF9-3"
"Q60794","10.5240/3E74-F1F9-47E1-73D3-6CBA-T"
"Q73583","10.5240/4CE8-D1FD-971C-7C1D-4041-K"
"Q72172","10.5240/8FBA-3CB9-9139-9A90-3646-D"
"Q73028","10.5240/BA6D-FCBA-8477-A683-A451-U"
"Q62163","10.5240/CA88-D149-42B5-7B6F-9B46-J"
"Q58553","10.5240/D122-89E9-1BAE-C51E-E628-8"
"Q80204","10.5240/4699-3BB4-4CE9-94A5-7015-1"
"Q80227","10.5240/5317-53ED-F6D6-DF5E-9CA1-N"
"Q82860","10.5240/77F8-1E1C-DA30-F21C-00EE-V"
"Q84064","10.5240/A809-4ACA-4AF2-1DDA-B633-E"
"Q81224","10.5240/EBF6-D169-E841-22D5-8CEB-V"
"Q80557","10.5240/FE6B-F95B-BE48-5961-3AB3-0"
"Q108543","10.5240/28C3-3A0B-BC4B-CBA4-7F83-Y"
"Q94792","10.5240/4094-7A3A-3D70-B2D9-23D3-K"
"Q104814","10.5240/52D5-69C2-9DCD-AF72-E8CD-S"
"Q106571","10.5240/5792-F0FA-2351-5014-8A51-O"
"Q94478","10.5240/96B9-A306-25A3-9508-1803-4"
"Q110354","10.5240/9897-0A62-0AA1-E5FD-7903-C"
"Q108946","10.5240/A31E-F86F-A60F-5070-CBE3-X"
"Q109116","10.5240/DCE5-B68E-D7A9-4BC9-5465-P"
"Q129051","10.5240/0047-B5BD-4DA8-628B-4060-Y"
"Q125494","10.5240/1046-C1A4-F6C4-C7B0-D7AB-P"
"Q115776","10.5240/1394-82BD-12A4-6B91-6B72-L"
"Q130142","10.5240/19AB-20DF-AE6D-A976-673D-T"
"Q115210","10.5240/2423-D04D-2E63-4A1F-E364-3"
"Q127011","10.5240/393F-2378-EE90-8EFB-3130-H"
"Q127897","10.5240/3BCB-27F6-C4CF-CC19-29CB-Q"
"Q128975","10.5240/3C45-A118-7054-CDFD-C7F4-Z"
"Q113428","10.5240/4263-AED4-79D5-CCE1-7128-N"
"Q115647","10.5240/4DF1-0CC0-77E7-995E-A5EC-G"
