"QID","lang"
"Q372","English"
"Q2201","English"
"Q2345","English"
"Q2875","English"
"Q3092","English"
"Q3187","English"
"Q3208","English"
"Q3242","English"
"Q3589","English"
"Q4430","English"
"Q4444","English"
"Q4471","English"
"Q4536","English"
"Q4657","English"
"Q4733","English"
"Q4739","English"
"Q4815","English"
"Q4941","English"
"Q5590","English"
"Q5890","English"
"Q7216","English"
"Q8328","English"
"Q8547","English"
"Q8907","English"
"Q11593","English"
"Q11618","English"
"Q11621","English"
"Q11928","English"
"Q13908","English"
"Q14320","English"
"Q18423","German"
"Q18429","German"
"Q18437","German"
"Q15618","English"
"Q19355","German"
"Q16403","English"
"Q16458","English"
"Q16516","English"
"Q16782","English"
"Q17738","English"
"Q18407","English"
"Q18423","English"
"Q18967","English"
"Q18964","English"
"Q19069","English"
"Q19089","English"
"Q19268","English"
"Q19393","English"
"Q19405","English"
"Q20456","English"
"Q19393","Māori"
"Q1365","Italian"
"Q3998","Tamil"
"Q3997","Tamil"
"Q4005","Tamil"
"Q12018","Italian"
"Q18395","Italian"
"Q18399","Italian"
"Q18397","Italian"
"Q18402","Italian"
"Q18403","Italian"
"Q18401","Italian"
"Q18407","Italian"
"Q18405","Italian"
"Q18411","Italian"
"Q18418","Italian"
"Q18416","Italian"
"Q18423","Italian"
"Q18421","Italian"
"Q18431","Italian"
"Q18428","Italian"
"Q18429","Italian"
"Q18433","Italian"
"Q18439","Italian"
"Q18437","Italian"
"Q18442","Italian"
"Q18441","Italian"
"Q18444","Italian"
"Q19276","Italian"
"Q19303","Italian"
"Q19311","Italian"
"Q19322","Italian"
"Q19320","Italian"
"Q19355","Italian"
"Q19352","Italian"
"Q19358","Italian"
"Q19356","Italian"
"Q18416","Latin"
"Q18428","Ancient Greek"
"Q595","French"
"Q593","French"
"Q8907","French"
"Q18415","French"
"Q18423","French"
"Q18331","Swedish"
"Q18964","Russian"
"Q16453","Hindi"
"Q4479","Spanish"
"Q8907","Spanish"
"Q18423","Spanish"
"Q33139","Portuguese"
"Q32790","English"
"Q32910","English"
"Q33131","English"
"Q33148","English"
"Q33191","English"
"Q33671","English"
"Q34414","English"
"Q38486","German"
"Q35725","English"
"Q35738","English"
"Q36190","English"
"Q36739","English"
"Q38143","English"
"Q38365","English"
"Q38486","English"
"Q38561","English"
"Q38970","English"
"Q39005","English"
"Q39409","English"
"Q39422","English"
"Q39956","English"
"Q39960","English"
"Q39970","English"
"Q39969","English"
"Q39975","English"
"Q39999","English"
"Q40071","English"
"Q40074","English"
"Q40115","English"
"Q40119","English"
"Q40182","English"
"Q40187","English"
"Q43838","German"
"Q43836","German"
"Q43968","German"
"Q41132","English"
"Q41315","English"
"Q41754","English"
"Q41854","English"
"Q42047","English"
"Q42051","English"
"Q45679","German"
"Q42198","English"
"Q43228","English"
"Q43408","English"
"Q43846","English"
"Q43911","English"
"Q43925","English"
"Q44085","English"
"Q44396","English"
"Q44447","English"
"Q44578","English"
"Q44662","English"
"Q44686","English"
"Q45304","English"
"Q45318","English"
"Q45386","English"
"Q45384","English"
"Q45388","English"
"Q45394","English"
"Q45672","English"
"Q45692","English"
"Q45794","English"
"Q45839","English"
"Q45860","English"
"Q45988","English"
"Q46551","English"
"Q33109","Persian"
"Q39946","Japanese"
"Q40085","Japanese"
"Q45839","Japanese"
"Q34499","Polish"
"Q34643","Italian"
"Q38226","Italian"
"Q38815","Italian"
"Q41483","Italian"
"Q45793","Italian"
"Q46361","Italian"
"Q46386","Italian"
"Q46477","Italian"
"Q46568","Italian"
"Q41854","Romanian"
"Q32790","French"
"Q38235","French"
"Q41132","French"
"Q46533","French"
"Q33189","Russian"
"Q36169","Russian"
"Q43900","Hindi"
"Q44280","Hindi"
"Q45273","Hindi"
"Q45987","Hindi"
"Q32780","Malayalam"
"Q32786","Malayalam"
"Q45268","Malayalam"
"Q32910","Spanish"
"Q38297","Spanish"
"Q46044","Spanish"
"Q36190","Hebrew"
"Q51732","Putonghua"
"Q51750","Standard Mandarin"
"Q51668","Aramaic languages"
"Q47221","English"
"Q47296","English"
"Q47654","English"
"Q47703","English"
"Q51757","Chinese"
"Q48734","English"
"Q48980","English"
"Q48984","English"
"Q49003","English"
"Q49018","English"
"Q49021","English"
"Q49398","English"
"Q49396","English"
"Q49410","English"
"Q49498","English"
"Q49903","English"
"Q50714","English"
"Q50861","English"
"Q50937","English"
"Q50969","English"
"Q54973","German"
"Q51416","English"
"Q53095","English"
"Q53096","English"
"Q53703","English"
"Q53719","English"
"Q54274","English"
"Q59317","German"
"Q58972","English"
"Q59073","English"
"Q59084","English"
"Q59240","English"
"Q59249","English"
"Q56862","Cantonese"
"Q56864","Cantonese"
"Q49729","Korean"
"Q51173","Korean"
"Q51734","Korean"
"Q51743","Korean"
"Q52021","Korean"
"Q54966","Polish"
"Q54967","Polish"
"Q54970","Polish"
"Q54971","Polish"
"Q54968","Polish"
"Q54974","Polish"
"Q54975","Polish"
"Q54973","Polish"
"Q54978","Polish"
"Q54979","Polish"
"Q54976","Polish"
"Q54982","Polish"
"Q54983","Polish"
"Q54980","Polish"
"Q54981","Polish"
"Q54986","Polish"
"Q54987","Polish"
"Q54984","Polish"
"Q54985","Polish"
"Q54990","Polish"
"Q54991","Polish"
"Q54989","Polish"
"Q54994","Polish"
"Q54992","Polish"
"Q54993","Polish"
"Q55002","Polish"
"Q55020","Polish"
"Q47703","Italian"
"Q54973","Italian"
"Q58109","Tamil"
"Q58118","Tamil"
"Q58553","Italian"
"Q51668","Latin"
"Q59026","Romanian"
"Q48904","Azerbaijani"
"Q58354","Azerbaijani"
"Q50969","French"
"Q54973","French"
"Q59026","French"
"Q51121","Hungarian"
"Q53481","Hungarian"
"Q48904","Russian"
"Q50962","Russian"
"Q50961","Russian"
"Q52442","Russian"
"Q53105","Russian"
"Q54973","Russian"
"Q56768","Hindi"
"Q58619","Hindi"
"Q50929","Czech"
"Q50941","Czech"
"Q53669","Spanish"
"Q56217","Spanish"
"Q51668","Hebrew"
"Q51732","Mandarin Chinese"
"Q51737","Mandarin Chinese"
"Q54973","Serbo-Croatian"
"Q72090","German"
"Q73451","German"
"Q71785","English"
"Q71847","English"
"Q71861","English"
"Q71960","English"
"Q72090","English"
"Q72168","English"
"Q72276","English"
"Q72450","English"
"Q72909","English"
"Q72925","English"
"Q72962","English"
"Q73028","English"
"Q73279","English"
"Q73583","English"
"Q73627","English"
"Q72325","Polish"
"Q73457","Polish"
"Q68029","Tamil"
"Q70069","French"
"Q71920","French"
"Q72090","French"
"Q72273","French"
"Q72321","French"
"Q72330","French"
"Q72002","Swedish"
"Q60792","Yue Chinese"
"Q72162","Spanish"
"Q72172","Finnish"
"Q71978","Mandarin Chinese"
"Q62730","German"
"Q63026","German"
"Q59534","English"
"Q59566","English"
"Q59572","English"
"Q59595","English"
"Q59610","English"
"Q59653","English"
"Q59687","English"
"Q59931","English"
"Q60016","English"
"Q60072","English"
"Q60296","English"
"Q60362","English"
"Q60464","English"
"Q60487","English"
"Q60506","English"
"Q61696","English"
"Q62163","English"
"Q62665","English"
"Q62976","English"
"Q63009","English"
"Q63026","English"
"Q63278","English"
"Q63366","English"
"Q63516","English"
"Q63980","English"
"Q63991","English"
"Q64017","English"
"Q64083","English"
"Q64146","English"
"Q64144","English"
"Q64151","English"
"Q64173","English"
"Q64211","English"
"Q60794","Cantonese"
"Q62513","Northern Sami"
"Q59653","Persian"
"Q62746","Dutch"
"Q64148","Polish"
"Q60021","Serbian"
"Q60818","Tamil"
"Q63026","Italian"
"Q63026","Arabic"
"Q59530","French"
"Q59531","French"
"Q59567","French"
"Q59634","French"
"Q59660","French"
"Q59722","French"
"Q63278","French"
"Q63991","French"
"Q62513","Swedish"
"Q62513","Norwegian"
"Q59721","Russian"
"Q59789","Russian"
"Q59543","Spanish"
"Q59612","Spanish"
"Q59660","Spanish"
"Q59687","Turkish"
"Q62513","Danish"
"Q59687","Greek"
"Q61874","Assamese"
"Q61875","Assamese"
"Q61872","Assamese"
"Q61877","Assamese"
"Q61955","Assamese"
"Q61953","Assamese"
"Q61957","Assamese"
"Q24933","German"
"Q25069","German"
"Q25454","German"
"Q25598","German"
"Q25600","German"
"Q24618","English"
"Q24815","English"
"Q24953","English"
"Q24980","English"
"Q25005","English"
"Q25057","English"
"Q25069","English"
"Q25086","English"
"Q25139","English"
"Q25157","English"
"Q25188","English"
"Q25466","English"
"Q25471","English"
"Q25506","English"
"Q25519","English"
"Q29327","German"
"Q25760","English"
"Q25835","English"
"Q25858","English"
"Q25947","English"
"Q29600","German"
"Q26391","English"
"Q26644","English"
"Q26665","English"
"Q26751","English"
"Q26970","English"
"Q27128","English"
"Q27178","English"
"Q27204","English"
"Q27338","English"
"Q27343","English"
"Q27411","English"
"Q27513","English"
"Q27536","English"
"Q27751","English"
"Q28193","English"
"Q28196","English"
"Q28234","English"
"Q28267","English"
"Q28776","English"
"Q28936","English"
"Q29313","English"
"Q29446","English"
"Q29658","English"
"Q29697","English"
"Q29733","English"
"Q29871","English"
"Q30931","English"
"Q31148","English"
"Q31198","English"
"Q31212","English"
"Q31540","English"
"Q31786","English"
"Q31791","English"
"Q31864","English"
"Q31971","English"
"Q32011","English"
"Q32217","English"
"Q32228","English"
"Q32241","English"
"Q32424","English"
"Q24515","Cantonese"
"Q28312","Cantonese"
"Q28289","Korean"
"Q25188","Japanese"
"Q25518","Japanese"
"Q26060","Japanese"
"Q25479","Tamil"
"Q25482","Tamil"
"Q25491","Tamil"
"Q25539","Tamil"
"Q25994","Italian"
"Q26162","Tamil"
"Q29658","Italian"
"Q31786","Italian"
"Q24585","French"
"Q25188","French"
"Q25460","French"
"Q25468","French"
"Q25503","French"
"Q25511","French"
"Q25508","French"
"Q25513","French"
"Q25519","French"
"Q25521","French"
"Q25524","French"
"Q25552","French"
"Q25617","French"
"Q29603","French"
