"QID","value"
"Q23023563",102376
"Q7764285",134923
"Q44484417",137198
"Q25627545",140654
"Q48796994",159696
"Q26214202",162115
"Q7245732",169709
"Q572789",175709
"Q1527383",178100
"Q20715660",184853
"Q19855156",201077
"Q41112701",215957
"Q11704875",271209
"Q676584",363849
"Q6757153",365307
"Q3024912",885155
"Q52715716",100554
"Q20729560",126177
"Q7930724",150043
"Q2706071",154407
"Q1536550",154685
"Q896904",162079
"Q20751392",167454
"Q13423391",191548
"Q18170264",206806
"Q595",217719
"Q3389153",290291
"Q1198100",661223
"Q426284",716438
"Q24659886",901357
"Q27546914",106080
"Q15713892",108562
"Q60824636",108581
"Q13219023",114076
"Q1948270",121749
"Q9018965",149241
"Q116141845",153286
"Q24610831",159951
"Q587394",162629
"Q1773081",189337
"Q19892237",210508
"Q5282517",254658
"Q2521232",268347
"Q5284107",268630
"Q44150378",293910
"Q2412059",662103
"Q6148021",703951
"Q3491688",854750
"Q660666",105661
"Q618274",109182
"Q2742237",110961
"Q110629546",112507
"Q386042",121911
"Q7096671",125939
"Q105980782",131481
"Q3235873",155862
"Q22344479",190719
"Q388560",272081
"Q4189274",277508
"Q30091793",297548
"Q950700",306967
"Q6690232",344922
"Q629975",405161
"Q6911929",444702
"Q111329724",456662
"Q12678912",457597
"Q3139596",485677
"Q1430481",809338
"Q2006338",104153
"Q4929145",130254
"Q3026892",152294
"Q1958683",152576
"Q963611",177079
"Q10885419",185644
"Q18333897",234829
"Q10470038",253877
"Q1195494",273254
"Q7522959",277529
"Q18510525",299835
"Q16996794",376613
"Q6772837",405166
"Q6945601",430924
"Q6307980",506093
"Q7764212",508437
"Q4217945",580491
"Q2877996",643905
"Q27042058",645448
"Q2345",695552
"Q5966027",834611
"Q117037697",108208
"Q142695",109378
"Q3790798",115142
"Q15854980",119611
"Q5824053",123149
"Q99763452",125503
"Q2098509",133329
"Q20511503",135016
"Q6930992",135136
"Q3824240",146630
"Q167726",152490
"Q52096005",153481
"Q27997188",157395
"Q2538430",161148
"Q1211672",168562
"Q115972995",169270
"Q4101677",170186
"Q3057418",213519
"Q1145740",217730
"Q14956637",251876
"Q4233800",257166
"Q24659676",266066
"Q5706438",272979
"Q612628",316868
"Q5652027",316925
"Q1519180",328272
"Q46025759",349048
"Q19899043",369463
"Q2869585",383895
"Q814612",438448
"Q2980748",446038
"Q192837",560395
"Q1144353",805444
"Q15804642",836907
"Q7617009",974561
"Q3563242",990000
"Q1853193",100287
"Q3651652",102469
"Q327713",105104
"Q56033753",108695
"Q4927932",119053
"Q2085388",127546
"Q15599546",134790
"Q7746918",140661
"Q16677923",160815
"Q15271051",169357
"Q4727753",172580
"Q922402",177882
"Q15531476",190387
"Q47190429",191216
"Q930372",204299
"Q110955046",223638
"Q80227",234906
"Q3210659",238264
"Q5508019",265752
"Q3821681",273134
"Q27116273",308848
"Q2740660",309301
"Q1169666",309324
"Q7771303",322786
"Q15222789",380854
"Q192409",425271
"Q3520625",426022
"Q113800697",429825
"Q18202181",431414
"Q5967890",446451
"Q2896245",467885
"Q26812666",468442
"Q3614623",482746
"Q1497155",501465
"Q51669735",526766
"Q12127980",534278
"Q3796134",725634
"Q19263959",909059
"Q4189412",100550
"Q3645481",101512
"Q4930813",103973
"Q107093399",109292
"Q1295825",111744
"Q52837114",113011
"Q114850036",113473
"Q3233816",114469
"Q5105349",118005
"Q581318",120599
"Q20762695",125243
"Q784284",127839
"Q5352405",132358
"Q2438581",135859
"Q19363559",143554
"Q26829864",144696
"Q122723743",145590
"Q3272380",158837
"Q111165867",160738
"Q555367",163177
"Q18153921",165713
"Q2278814",171236
"Q14948568",171302
"Q4877364",171352
"Q24905661",171621
"Q7730300",172348
"Q122624366",173597
"Q26196460",173876
"Q1077902",174693
"Q2414774",175697
"Q3822103",176605
"Q7752517",177520
"Q4994377",179292
"Q7304804",184213
"Q99463527",187366
"Q2478358",193045
"Q738814",199269
"Q106906663",201222
"Q1861395",205686
"Q213411",208836
"Q18165571",210764
"Q12156008",219171
"Q3077296",219983
"Q3953464",224313
"Q122733495",232832
"Q1355942",232894
"Q30004939",233559
"Q5960825",246227
"Q2986126",258087
"Q10943955",269238
"Q7659293",290590
"Q3402011",328585
"Q1465829",335226
"Q110103654",338244
"Q28497160",341144
"Q5800848",341147
"Q228585",341903
"Q387694",343668
"Q2986146",344200
"Q50143448",344378
"Q7532912",346445
"Q11725918",346956
"Q48740387",373104
"Q11618",388347
"Q5049070",411620
"Q3794058",421107
"Q2009789",422238
"Q790444",437683
"Q3625426",437793
"Q581824",437838
"Q6875706",462707
"Q64166692",501527
"Q3202330",518000
"Q20724289",519630
"Q1788982",530288
"Q16403",589971
"Q1536277",625531
"Q85973235",645597
"Q5972113",651178
"Q3280426",674436
"Q1750392",692502
"Q59726567",768496
"Q3417779",771992
"Q14956635",850892
"Q15575879",862951
"Q12018",919282
"Q5392793",933625
"Q15614133",100687
"Q25136475",101367
"Q51277127",102554
"Q168823",102585
"Q99243112",102802
"Q28443710",103430
"Q208696",103608
"Q66105246",103809
"Q339045",103846
"Q3233564",104889
"Q3400538",105500
"Q3210212",106236
"Q3003732",108737
"Q2839051",108784
"Q29558633",111769
"Q1171717",112623
"Q17011725",113624
"Q98114583",113880
"Q16251763",114390
"Q47524071",118012
"Q28501699",118312
"Q206740",121015
"Q3522469",122731
"Q1767580",126910
"Q20820539",133819
"Q27757563",135818
"Q608074",136532
"Q28456334",136996
"Q1464230",138894
"Q29144645",139016
"Q3795597",139519
"Q3326142",139684
"Q23303580",139844
"Q4818911",142361
"Q5469640",144879
"Q2418707",148413
"Q63664152",154211
"Q3859636",156649
"Q786996",157068
"Q3482357",160073
"Q28032998",163807
"Q929998",165067
"Q17212408",172403
"Q596358",173667
"Q318169",174460
"Q3282900",175839
"Q5818569",176519
"Q3201856",177161
"Q3421359",178648
"Q6845480",181292
"Q50649553",188514
"Q3676245",188937
"Q1453412",194191
"Q3148523",200480
"Q4171789",202824
"Q5291861",210970
"Q834391",212208
"Q1328813",214496
"Q5367175",219845
"Q1129069",222381
"Q18415",223296
"Q48672822",224387
"Q26720998",231848
"Q576588",231857
"Q16944339",236219
"Q1542687",239328
"Q20456",239359
"Q1075182",241386
"Q1189674",247138
"Q5120381",260183
"Q5463341",261115
"Q20800462",261516
"Q55081822",274299
"Q3203253",283719
"Q3999011",284244
"Q928126",285271
"Q17079704",286555
"Q16201041",289721
"Q118076136",290637
"Q5445932",297512
"Q21483907",302890
"Q23831",304093
"Q115474830",307182
"Q1759260",327067
"Q28863794",327261
"Q3417281",330964
"Q122381441",342833
"Q1038530",355644
"Q12269024",369425
"Q16937221",372520
"Q3220110",386084
"Q7727535",389134
"Q27467",417443
"Q696934",436752
"Q1705301",439898
"Q7733742",442624
"Q7761285",451752
"Q1217937",463577
"Q2217734",472215
"Q498864",484581
"Q28671004",487711
"Q22432",490014
"Q24871",495280
"Q25511",502887
"Q1257078",512661
"Q23793906",540591
"Q29959711",542573
"Q17059912",558001
"Q55599829",558066
"Q12126045",558549
"Q21528052",573591
"Q2641404",586435
"Q16290",593733
"Q227468",593742
"Q98925273",610088
"Q3953442",621493
"Q18967",632602
"Q59501879",650877
"Q18431",662365
"Q3599077",666383
"Q10338736",669997
"Q5455356",695795
"Q21682689",701542
"Q3965856",705778
"Q24980",746294
"Q1420421",747351
"Q19322",766132
"Q24075",786572
"Q17113384",799898
"Q26970",810927
"Q24579444",832215
"Q25552",864896
"Q25617",877689
"Q2332837",886427
"Q27178",902489
"Q389253",908459
"Q1962858",909534
"Q18402",921210
"Q18331",921517
"Q682002",921934
"Q95130477",938622
"Q18428",942205
"Q23771",959989
"Q10702299",983060
"Q18403",999091
"Q10537297",100075
"Q29816",101024
"Q55604735",101973
"Q13422356",102019
"Q7900236",102870
"Q3818503",104514
"Q5224087",104687
"Q6172239",105919
"Q7092462",108057
"Q16487844",108079
"Q2714745",108627
"Q17509670",108779
"Q943096",109326
"Q1213524",110701
"Q37912449",112139
"Q2317085",116801
"Q1250780",116999
"Q20729186",117232
"Q3036169",120189
"Q4044108",120564
"Q5187376",127594
"Q3078618",127693
"Q5169695",130833
"Q21711225",131825
"Q5976411",132833
"Q5393143",133571
"Q18150015",136223
"Q41132",136239
"Q21070779",137032
"Q2465380",137165
"Q6107700",137229
"Q21139734",138393
"Q67400758",138987
