"QID","itemLabel","itemDescription"
"Q1841647","Q1841647","1969 film by Philo Bregstein"
"Q680265","Moord in het Modehuis","1946 film by Alfred Mazure"
"Q617311","Photo Album","2005 film that contains all eight of Nickelback's music videos released up to that date"
"Q636951","Credo: John Paul II","2006 film by Alberto Michelin"
"Q1513425","Pallywood","2005 film"
"Q1889048","Detroit: City on the Move","1965 film"
"Q785992","Beyond The Wakeful Being","2006 film by András Vean Vereb"
"Q1192603","Der Boss","2005 German film"
"Q1167260","The Berlin Government District Part 1: 1932–1938","2005 film"
"Q82224","Gangnam for Freedom","2012 film"
"Q2205056","Staphorst in tegenlicht","2007 documentary directed by Emile van Rouveroy van Nieuwaal"
"Q133700","Mayak","2012 film"
"Q2120901","Pühapäevakütid","1930 film by Balduin Kusbock"
"Q2196321","Color Craziness","1965 film"
"Q473820","Q473820","2010 film"
"Q2194685","Rijssens stille oorlog","2010 film directed by Emile van Rouveroy van Nieuwaal"
"Q2369831","Q2369831","2011 film by Geertjan Lassche"
"Q767170","Toei 100 Great Hero Super Fight","film"
"Q627059","Q627059","1999 film"
"Q2313747","German for Kids","2011 film by Sergej Moya"
"Q1263224","The Future of Art","2010 documentary film directed by Erik Niedling und Ingo Niermann"
"Q771271","Q771271","1986 film by Vladimir Shevchenko"
"Q1305730","An Unusual Day","1959 film by Bärbl Bergmann"
"Q544757","Rastas","2003 film by Neni Glock"
"Q1630569","Hostage of Time","1994 film"
"Q525998","DeeVeeDee","2008 film"
"Q949087","Q949087","2005 film"
"Q1517685","Geschichten hinter vergessenen Mauern","2012 film directed by Enno Seifried"
"Q1056881","Q1056881","2009 film by István Jelenczki"
"Q1101365","Q1101365","2011 film"
"Q1199574","Der schwarze Jack","1919 silent film directed by Bruno Eichgrün"
"Q1532924","Born into Struggle","2004 film by Rehad Desai"
"Q1212877","Q1212877","2012 film"
"Q1647150","Als es noch Wassermänner gab","1991 film by Johannes Hempel"
"Q1214982","Q1214982","1985 film by Peter Gehrig"
"Q469540","Q469540","1996 film by Iván Lakatos"
"Q1276238","Q1276238","2010 film"
"Q1306910","Q1306910","2005 film"
"Q932436","Bougafer 33","2010 film by Ahmed Baidou"
"Q54986","The Adventures of Anton","1913 film by Wiktor Biegański"
"Q1668697","Vahva sõdur Joosep Toots","1930 film by Theodor Luts"
"Q2129963","Far and Wide","1964 film by Han van Gelder"
"Q474207","EPIC 2014","2004 Flash movie"
"Q1168100","Q1168100","2010 film by Malte Olschewski"
"Q812787","Be-Boy Kidnapp’n Idol","film"
"Q831502","Q831502","2005 film by Rafael Fuster Pardo"
"Q1591001","Q1591001","1985 film"
"Q471371","Q471371","1987 film by Judit Ember"
"Q1150416","Fallen 3: The Destiny","2008 television film directed by Mikael Salomon"
"Q2392144","The mask","1989 film by Johan van der Keuken"
"Q966974","La Mémoire maritime des arabes","2000 film by Khal Torabully"
"Q1642339","Q1642339","1940 film by Hubert Schonger"
"Q1651064","Q1651064","1975 film"
"Q1646056","Jackie Chan's Hong Kong","2006 film"
"Q2006310","Não me importava morrer se houvesse Guitarras no Céu","2012 documentary about chamarrita"
"Q2083228","The Road to Jenin","2003 documentary film by Pierre Rehov"
"Q158069","Olympia","1938 black-and-white Nazi propaganda documentary film, written, directed and produced by Leni Riefenstahl, about the 1936 Summer Olympics in Berlin"
"Q800276","Track under the hammer","2007 film by Herdolor Lorenz and Leslie Franke"
"Q2059625","Jean Rouch and His Camera in the Heart of Africa","1978 film by Philo Bregstein"
"Q1740816","Kick it like Kurt","2010 film"
"Q1839536","Q1839536","2000 film"
"Q1772039","Männer ohne Nerven","German television series"
"Q1168002","The Secret of the Orange Boxes","2008 film by Jochen Faber"
"Q94347","Q94347","1990 film by Sergey Ratnikov"
"Q1196305","Q1196305","1954 film by Kurt Früh"
"Q1197473","Q1197473","1990 film by Lea Rosh and Eberhard Jäckel"
"Q1476011","InTERActive","2007 film"
"Q2005231","Q2005231","1997 film"
"Q1498010","Spaghetti 24 x 7","2013 Hindi film directed by Gaurav Pandey"
"Q2049870","Q2049870","2003 film"
"Q2090300","Q2090300","2009 film"
"Q1002114","Bufferin","1966 film by Andy Warhol"
"Q2137770","Q2137770","1952 film"
"Q2153348","Q2153348","2005 film"
"Q1676634","JK Wedding Entrance Dance","2009 viral video"
"Q2307764","Q2307764","2005 film"
"Q1167675","Q1167675","1987 film by Hugo Portisch and Sepp Riff"
"Q2313206","Q2313206","2008 film by Ersin Kiris"
"Q2308000","Q2308000","1950 film"
"Q2375916","Q2375916","2010 film"
"Q2404379","Q2404379","2005 film"
"Q2375933","Q2375933","1930 film"
"Q2069809","Q2069809","2002 film by Alexander Oey"
"Q1327744","Q1327744","2011 film directed by Géza Pörös"
"Q1854675","From America All the Way to America","1998 film directed by Leon Giesen"
"Q2315074","Squirtamania","2009 film"
"Q1784375","Q1784375","1991 film by Bernhard Lehner"
"Q1649928","Extraordinary Women","2009 film by Yildalina Tatem Brache"
"Q1424768","Appalam","2011 film by Afdlin Shauki"
"Q1744281","Klamottenkiste","German film compilation series"
"Q1960520","The Sun on the Roof of the World","1992 film by Xie Fei, Ping Wang"
"Q2259436","Q2259436","1977 film by Philo Bregstein"
"Q2365721","55","2007 film by Nikita Mikhalkov"
"Q849691","Q849691","2005 film by László Martinidesz"
"Q1660596","Q1660596","1972 film by Gerhard Behrendt"
"Q2161038","Rodeo am Himmel","2003 film"
"Q244866","Q244866","2006 film by Stefan Meining"
"Q2285875","Romance of the Pink Panther","1981 film by Clive Donner"
"Q487612","Innocence of Muslims","2012 film by Nakoula Basseley Nakoula"
"Q673944","Q673944","1996 film by Helmut Voitl"
"Q2229972","Spelende kinderen","1896 film by M.H. Laddé"
"Q558474","Hamoon Bazha","2007 film by Mani Haghighi"
"Q2271397","Mystery Girl","2008 film by Jonathan Judge"
"Q1897361","Q1897361","1965 film by Jan Vrijman"
"Q630201","Nahar we leil","2006 film by Islam el Azzazi"
"Q1552436","Q1552436","2006 film by Hannelore Conradsen"
"Q1197948","Q1197948","1938 film by Paul Karl Lieberenz"
