"QID","value"
"Q42","9XLD-SZS"
"Q23","KNDX-MKG"
"Q619","KLJ2-YK6"
"Q747","LHPV-XYP"
"Q368","LZR7-7NL"
"Q1149","KN6B-SZ6"
"Q1254","L1JP-XQW"
"Q1511","LHN3-6CH"
"Q1276","LRC8-M82"
"Q1325","MH5T-DWS"
"Q1151","MT1M-3WJ"
"Q2677","LCD9-994"
"Q2518","LTN9-6DT"
"Q5383","L24R-RM3"
"Q4700","LCRJ-43X"
"Q5921","LRPQ-FRV"
"Q7336","K82M-DH1"
"Q9434","L55G-9TD"
"Q7339","LBP7-KW1"
"Q7487","LW9R-QJR"
"Q9588","LZNG-673"
"Q11812","L7RV-G3V"
"Q15948","LHZJ-7BC"
"Q14277","LZNW-WCQ"
"Q16397","LZV7-BTC"
"Q20430","GS75-ZXX"
"Q20018","KL47-Q8S"
"Q19837","L233-FSC"
"Q16867","L4MG-N77"
"Q19198","LTNK-YQC"
"Q42985","97KK-LQR"
"Q42985","KZ6W-KF4"
"Q34286","L4HS-WTV"
"Q37278","L4TH-Y2G"
"Q36105","L8B5-FHW"
"Q37064","L8G7-LHW"
"Q37193","LC3Y-D2L"
"Q35678","LDB7-ZFV"
"Q41921","LRP3-P5C"
"Q33866","LV46-YF6"
"Q40874","LWFD-FQN"
"Q38203","MZ46-1SF"
"Q44407","27SH-WRG"
"Q55415","GW19-JS9"
"Q49356","K4N7-DL6"
"Q51490","LH11-78J"
"Q56093","LHC4-ZCP"
"Q44653","LY83-LQZ"
"Q57249","LZ5L-B1L"
"Q44032","LZK4-DL9"
"Q45765","LZNP-89Q"
"Q46479","M12D-491"
"Q61898","2X2J-PKJ"
"Q59630","G38J-7YM"
"Q63014","G3ZP-5C7"
"Q73058","GS5L-V9B"
"Q60547","GSKW-XCT"
"Q60371","KFBM-3S8"
"Q58586","L1W5-KBT"
"Q63575","L6GX-427"
"Q60029","LCC1-1DM"
"Q70760","LCCX-JWL"
"Q65016","LHPC-HCW"
"Q63189","LTZF-ZZR"
"Q58670","LY89-SM4"
"Q61351","LZ6M-3X4"
"Q68761","MBS1-PMS"
"Q78477","9NQV-JQZ"
"Q76586","9QP3-5L6"
"Q78504","9V3H-HFV"
"Q78490","9VH4-1PF"
"Q84204","KH25-DJ5"
"Q85952","KVP1-ZTQ"
"Q76483","LHB5-TWT"
"Q75467","LKCL-5RG"
"Q80739","LYRF-L57"
"Q84263","M79P-9PW"
"Q97921","G8XB-GSR"
"Q100937","K1WJ-BYK"
"Q104081","KC34-WD3"
"Q95019","KNJG-63F"
"Q108366","KPSG-4H5"
"Q94561","L61T-1NQ"
"Q107656","LCDZ-HBZ"
"Q107626","LJB7-DZH"
"Q105167","LK46-KYK"
"Q107626","LKYG-Y9K"
"Q100440","LVQ5-T8M"
"Q95050","LWFV-LTX"
"Q108510","LX74-ZT7"
"Q107626","LZ8C-H2T"
"Q107626","LZQC-KGM"
"Q93137","MGQ2-P9J"
"Q95361","MKFD-KH6"
"Q110972","G9LP-LYY"
"Q111969","KCG9-2TQ"
"Q128967","LVT5-C5T"
"Q122851","LY86-1G6"
"Q118253","LZFM-CBN"
"Q113941","MJKT-BNJ"
"Q132105","GSLS-GSB"
"Q139655","GZ43-G83"
"Q144090","KH47-BRQ"
"Q137634","LCFJ-P34"
"Q134549","LZNR-GY3"
"Q133054","MRVS-3BH"
"Q155781","G3ZC-6K1"
"Q157255","GSBJ-G23"
"Q161841","KG33-96T"
"Q155907","KLF8-Y6T"
"Q154824","KT3J-NVT"
"Q158486","L1Z6-HLN"
"Q154545","L6VJ-6RB"
"Q160001","L7GH-MQM"
"Q162389","LCFL-6FY"
"Q161247","LCJL-DZC"
"Q155525","LCRW-KVD"
"Q156567","LNRV-W1Y"
"Q153637","LWMC-RMY"
"Q168542","GD8Y-STV"
"Q186549","GHC6-9H7"
"Q169066","GXQ8-MJY"
"Q182580","L66C-WGD"
"Q183397","L71D-VWF"
"Q177984","LH9F-987"
"Q168728","LHSW-XQP"
"Q183528","LTKN-LKD"
"Q192712","G39X-84D"
"Q202729","GN2W-9FG"
"Q204101","GSS3-8T3"
"Q192474","GV9H-5FN"
"Q193656","L4R1-3FS"
"Q189407","L5VX-QMX"
"Q192245","L7GY-8LD"
"Q201433","LBLY-3PC"
"Q192778","LJ96-8R2"
"Q189841","LZZF-K2B"
"Q202365","MX7X-76R"
"Q219731","29H3-K7Z"
"Q213393","K6QN-P8Q"
"Q217434","KF5D-3GL"
"Q212957","LDKH-KPG"
"Q214565","LKCJ-BTK"
"Q216135","LT3H-D7F"
"Q212545","LTR4-6V5"
"Q213690","LTS2-8G9"
"Q214852","LTVK-MVS"
"Q209586","LY71-177"
"Q215850","MTCC-3CZ"
"Q230238","2H27-S9R"
"Q240442","G7BC-KFH"
"Q237324","GHVD-2NR"
"Q234893","GWYQ-Z11"
"Q232959","L5VP-GG8"
"Q236978","LD5H-H5M"
"Q237196","LK32-BJ3"
"Q234185","LW9M-KLR"
"Q230662","LXH5-2M9"
"Q225509","LZJ6-VMF"
"Q266808","993K-8JS"
"Q252126","GQZ3-7C2"
"Q266416","KLVX-MPP"
"Q268732","L5FX-DWX"
"Q259185","L7F6-NMM"
"Q254983","LHWS-TCZ"
"Q253192","LVLW-YL6"
"Q254659","LVMC-HLV"
"Q263648","LZF1-JBP"
"Q250754","LZSS-JBW"
"Q254376","M4F2-8PJ"
"Q270468","G3LZ-CVM"
"Q270617","GMSK-5W5"
"Q272510","KV2D-5P4"
"Q275793","L85D-H6F"
"Q278825","LCVG-GMN"
"Q283342","LKDD-KSZ"
"Q269890","LRYQ-HRJ"
"Q272857","LT5P-PVH"
"Q296630","94XQ-SBG"
"Q313697","GS63-R2C"
"Q312591","K63V-MSN"
"Q311145","KGMZ-5QS"
"Q97055701","KH86-WCS"
"Q310924","LBTY-6Y4"
"Q290343","LCJH-36W"
"Q312069","LQ5H-X8M"
"Q310775","LT6C-2RN"
"Q294927","LTGR-P8D"
"Q299302","LZDB-BSH"
"Q336227","27VP-P7F"
"Q318750","G358-SXN"
"Q316802","G3S1-WPB"
"Q329784","G7VD-6JB"
"Q333824","K48L-59M"
"Q333368","K4YL-RX4"
"Q333004","KZJ9-LHG"
"Q335159","L44Q-C53"
"Q333426","LCXM-KQK"
"Q332475","LHQ1-7KN"
"Q334282","LR24-YZV"
"Q335152","LVJF-HPT"
"Q333297","LW3Q-M2S"
"Q317248","LZ81-4P8"
"Q324742","LZDZ-1WR"
"Q336036","M1YS-96M"
"Q322001","MMRC-Q4W"
"Q317574","MV3Z-PNC"
"Q334984","MVH7-2QX"
"Q364556","9K67-H77"
"Q362402","G7DK-W3T"
"Q361238","GW7Q-84L"
"Q337386","L62T-14J"
"Q358519","LBN5-QVJ"
"Q355125","LCBH-V5Z"
"Q354540","LCFW-XDF"
"Q356769","LH6Y-ZWP"
"Q361617","LZLZ-R77"
"Q336609","LZV2-BM1"
"Q386572","99V5-1HD"
"Q365672","G37Y-DDR"
"Q373128","G72J-TML"
"Q373895","GHDN-BGS"
"Q380148","KN6R-QV4"
"Q367073","LK5G-3M8"
"Q365010","LZXM-ZDD"
"Q399235","LC89-RZN"
"Q390775","LHL3-435"
"Q390569","LHL3-CNC"
"Q434610","K87W-TBL"
"Q449085","KFTV-655"
"Q436309","KPD2-LTG"
"Q430443","LHZW-BSV"
"Q433129","LKGH-4N5"
"Q439535","LYQQ-7L4"
"Q431614","MPWS-3LK"
"Q456131","9SS9-1L5"
"Q452605","G4YH-YMJ"
"Q449769","GZPP-B15"
"Q451879","KH78-565"
"Q465580","KWVM-M24"
"Q456966","L1L9-LVD"
"Q452354","L51Q-JCN"
"Q453665","LBJY-Y5B"
"Q462368","LBNY-D51"
"Q464313","LCTJ-V2B"
"Q452749","LR3T-LX8"
"Q465637","LTNS-41F"
"Q457306","LY81-T3D"
"Q458565","LZG6-BBS"
