"QID","value","article"
"Q68761","MBS1-PMS","https://en.wikipedia.org/wiki/Elsa_Einstein"
"Q70760","LCCX-JWL","https://en.wikipedia.org/wiki/Prince_Hubertus_of_Prussia"
"Q73058","GS5L-V9B","https://en.wikipedia.org/wiki/Willard_Boyle"
"Q75467","LKCL-5RG","https://en.wikipedia.org/wiki/Charles_I._D._Looff"
"Q76483","LHB5-TWT","https://en.wikipedia.org/wiki/Rainer_Maria_Rilke"
"Q76586","9QP3-5L6","https://en.wikipedia.org/wiki/Karl_Kautsky"
"Q78477","9NQV-JQZ","https://en.wikipedia.org/wiki/Joseph_Schumpeter"
"Q78490","9VH4-1PF","https://en.wikipedia.org/wiki/Thomas_Klestil"
"Q78504","9V3H-HFV","https://en.wikipedia.org/wiki/Ernst_Gombrich"
"Q80739","LYRF-L57","https://en.wikipedia.org/wiki/Charlton_Heston"
"Q84204","KH25-DJ5","https://en.wikipedia.org/wiki/Theodor_K%C3%B6rner_(president)"
"Q84263","M79P-9PW","https://en.wikipedia.org/wiki/Wilhelm_Miklas"
"Q85952","KVP1-ZTQ","https://en.wikipedia.org/wiki/Johann_Hinrich_Gossler"
"Q93137","MGQ2-P9J","https://en.wikipedia.org/wiki/P%C3%A4r_Lagerkvist"
"Q94561","L61T-1NQ","https://en.wikipedia.org/wiki/Leone_Sextus_Tollemache"
"Q95019","KNJG-63F","https://en.wikipedia.org/wiki/Norma_Shearer"
"Q95050","LWFV-LTX","https://en.wikipedia.org/wiki/Paulette_Goddard"
"Q95361","MKFD-KH6","https://en.wikipedia.org/wiki/Karl_Freudenberg"
"Q97921","G8XB-GSR","https://en.wikipedia.org/wiki/Carola_Toelle"
"Q100440","LVQ5-T8M","https://en.wikipedia.org/wiki/Larry_Hagman"
"Q100937","K1WJ-BYK","https://en.wikipedia.org/wiki/Fred_Astaire"
"Q104081","KC34-WD3","https://en.wikipedia.org/wiki/Mickey_Rooney"
"Q105167","LK46-KYK","https://en.wikipedia.org/wiki/Tom_Clancy"
"Q107626","LJB7-DZH","https://en.wikipedia.org/wiki/Seth"
"Q107626","LKYG-Y9K","https://en.wikipedia.org/wiki/Seth"
"Q107626","LZ8C-H2T","https://en.wikipedia.org/wiki/Seth"
"Q107626","LZQC-KGM","https://en.wikipedia.org/wiki/Seth"
"Q107656","LCDZ-HBZ","https://en.wikipedia.org/wiki/Jean_Simmons"
"Q108366","KPSG-4H5","https://en.wikipedia.org/wiki/Gregory_Peck"
"Q108510","LX74-ZT7","https://en.wikipedia.org/wiki/James_Garner"
"Q110972","G9LP-LYY",NA
"Q111969","KCG9-2TQ","https://en.wikipedia.org/wiki/Lewis_Steenrod"
"Q113941","MJKT-BNJ","https://en.wikipedia.org/wiki/Maurice_Duplessis"
"Q118253","LZFM-CBN","https://en.wikipedia.org/wiki/Eduard_Einstein"
"Q122851","LY86-1G6","https://en.wikipedia.org/wiki/George_Edwin_Ellison"
"Q128967","LVT5-C5T","https://en.wikipedia.org/wiki/Edward_Heath"
"Q368","LZR7-7NL","https://en.wikipedia.org/wiki/Augusto_Pinochet"
"Q619","KLJ2-YK6","https://en.wikipedia.org/wiki/Nicolaus_Copernicus"
"Q747","LHPV-XYP","https://en.wikipedia.org/wiki/Pierre_Corneille"
"Q1151","MT1M-3WJ","https://en.wikipedia.org/wiki/Hector_Berlioz"
"Q1149","KN6B-SZ6","https://en.wikipedia.org/wiki/Indira_Gandhi"
"Q1254","L1JP-XQW","https://en.wikipedia.org/wiki/Kofi_Annan"
"Q1276","LRC8-M82","https://en.wikipedia.org/wiki/Leonard_Cohen"
"Q1325","MH5T-DWS","https://en.wikipedia.org/wiki/Friedrich_Hayek"
"Q1511","LHN3-6CH","https://en.wikipedia.org/wiki/Richard_Wagner"
"Q2518","LTN9-6DT","https://en.wikipedia.org/wiki/Helmut_Kohl"
"Q2677","LCD9-994","https://en.wikipedia.org/wiki/Wilhelm_II"
"Q4700","LCRJ-43X","https://en.wikipedia.org/wiki/Claude_Debussy"
"Q5383","L24R-RM3","https://en.wikipedia.org/wiki/David_Bowie"
"Q5921","LRPQ-FRV","https://en.wikipedia.org/wiki/Chuck_Berry"
"Q7339","LBP7-KW1","https://en.wikipedia.org/wiki/Margot_Frank"
"Q7336","K82M-DH1","https://en.wikipedia.org/wiki/Otto_Frank"
"Q7487","LW9R-QJR","https://en.wikipedia.org/wiki/Dorothy_Hodgkin"
"Q9434","L55G-9TD","https://en.wikipedia.org/wiki/Arnold_Palmer"
"Q9588","LZNG-673","https://en.wikipedia.org/wiki/Richard_Nixon"
"Q11812","L7RV-G3V","https://en.wikipedia.org/wiki/Thomas_Jefferson"
"Q14277","LZNW-WCQ","https://en.wikipedia.org/wiki/William_Herschel"
"Q15948","LHZJ-7BC","https://en.wikipedia.org/wiki/%C3%89mile_Durkheim"
"Q16397","LZV7-BTC","https://en.wikipedia.org/wiki/Bruce_Lee"
"Q16867","L4MG-N77","https://en.wikipedia.org/wiki/Edgar_Allan_Poe"
"Q19198","LTNK-YQC","https://en.wikipedia.org/wiki/Chester_Bennington"
"Q19837","L233-FSC","https://en.wikipedia.org/wiki/Steve_Jobs"
"Q20018","KL47-Q8S","https://en.wikipedia.org/wiki/George_Biddell_Airy"
"Q20430","GS75-ZXX","https://en.wikipedia.org/wiki/Sergey_Kapitsa"
"Q23","KNDX-MKG","https://en.wikipedia.org/wiki/George_Washington"
"Q42","9XLD-SZS","https://en.wikipedia.org/wiki/Douglas_Adams"
"Q33866","LV46-YF6","https://en.wikipedia.org/wiki/Theodore_Roosevelt"
"Q34286","L4HS-WTV","https://en.wikipedia.org/wiki/Alexander_Graham_Bell"
"Q35678","LDB7-ZFV","https://en.wikipedia.org/wiki/Benjamin_Harrison"
"Q36105","L8B5-FHW","https://en.wikipedia.org/wiki/Charles_Bronson"
"Q37064","L8G7-LHW","https://en.wikipedia.org/wiki/Alexander_Fleming"
"Q37193","LC3Y-D2L","https://en.wikipedia.org/wiki/Robert_Koch"
"Q37278","L4TH-Y2G","https://en.wikipedia.org/wiki/Pope_John_Paul_I"
"Q38203","MZ46-1SF","https://en.wikipedia.org/wiki/Helen_Keller"
"Q40874","LWFD-FQN","https://en.wikipedia.org/wiki/Doris_Lessing"
"Q41921","LRP3-P5C","https://en.wikipedia.org/wiki/Rosa_Parks"
"Q42985","97KK-LQR","https://en.wikipedia.org/wiki/Ivan_Pavlov"
"Q42985","KZ6W-KF4","https://en.wikipedia.org/wiki/Ivan_Pavlov"
"Q44032","LZK4-DL9","https://en.wikipedia.org/wiki/Egon_Schiele"
"Q44407","27SH-WRG","https://en.wikipedia.org/wiki/Ronald_Golias"
"Q44653","LY83-LQZ","https://en.wikipedia.org/wiki/Malcolm_Young"
"Q45765","LZNP-89Q","https://en.wikipedia.org/wiki/Jack_London"
