"item","c","wdlabelen"
"Q27811","aa","Afar"
"Q5111","ab","Abkhaz"
"Q197936","abe","Abenaki"
"Q27567","abq","Abaza"
"Q3124354","abs","Ambonese"
"Q27683","ace","Acehnese"
"Q56232","acm","Mesopotamian Arabic"
"Q56509","adx","Amdo Tibetan"
"Q27776","ady","Adyghe"
"Q64362980","ady-cyrl","Adyghe in Cyrillic script"
"Q56240","aeb","Tunisian Arabic"
"Q64362981","aeb-arab","Tunisian Arabic in Arabic script"
"Q64362982","aeb-latn","Tunisian Arabic in Latin script"
"Q14196","af","Afrikaans"
"Q34737","agq","Aghem"
"Q56593","ajp","Levantine Arabic"
"Q28026","ak","Akan"
"Q113819406","akk-latn","Akkadian in Latin Script"
"Q8773","akl","Aklanon"
"Q1815020","akz","Alabama"
"Q181037","aln","Gheg Albanian"
"Q131339","als","Alemannic"
"Q387066","als","Swiss German"
"Q1991779","alt","Southern Altai"
"Q28244","am","Amharic"
"Q35132","ami","Amis"
"Q8765","an","Aragonese"
"Q42365","ang","Old English"
"Q28378","anp","Angika"
"Q10729616","aoc","Pemon"
"Q56593","apc","Levantine Arabic"
"Q13955","ar","Arabic"
"Q28602","arc","Aramaic languages"
"Q33730","arn","Mapudungun"
"Q56499","arq","Algerian Arabic"
"Q108055510","art-blt","Belter Creole"
"Q686210","art-bsp","Black Speech"
"Q64483808","art-vlh","High Valyrian"
"Q56426","ary","Moroccan Darija"
"Q29919","arz","Egyptian Arabic"
"Q29401","as","Assamese"
"Q14759","ase","American Sign Language"
"Q29507","ast","Asturian"
"Q56590","atj","Atikamekw"
"Q29561","av","Avar"
"Q1377116","avk","Kotava"
"Q29579","awa","Awadhi"
"Q4627","ay","Aymara"
"Q9292","az","Azerbaijani"
"Q107549766","az-cyrl","Azerbaijani in Cyrillic script"
"Q3449805","azb","South Azerbaijani"
"Q13389","ba","Bashkir"
"Q33049","bal","Balochi"
"Q33070","ban","Balinese"
"Q107530457","ban-bali","Balinese in Balinese script"
"Q29540","bar","Bavarian"
"Q213434","bat-smg","Samogitian"
"Q33017","bbc","Toba Batak"
"Q64362983","bbc-latn","Batak Toba in Latin script"
"Q12634001","bcc","Southern Balochi"
"Q33284","bcl","Central Bikol"
"Q2880037","bdr","West Coast Bajau"
"Q9091","be","Belarusian"
"Q2087886","be-tarask","Taraškievica"
"Q33025","bej","Beja"
"Q33000","bfi","British Sign Language"
"Q33205","bfq","Badaga"
"Q7918","bg","Bulgarian"
"Q12645561","bgn","Western Balochi"
"Q33268","bh","Bhojpuri"
"Q33268","bho","Bhojpuri"
"Q35452","bi","Bislama"
"Q33151","bjn","Banjar"
"Q33060","bla","Blackfoot"
"Q7121294","blk","Pa'O"
"Q33243","bm","Bambara"
"Q9610","bn","Bangla"
"Q56505","bnn","Bunun"
"Q93937013","bnt-mpi","Mpiin"
"Q34271","bo","Tibetan"
"Q37059","bpy","Bishnupriya Manipuri"
"Q257829","bqi","Bakhtiari"
"Q12107","br","Breton"
"Q33202","brh","Brahui"
"Q33223","brx","Bodo"
"Q9303","bs","Bosnian"
"Q56648","bsa","Abinomn"
"Q216286","bsk","Burushaski"
"Q34806","bss","Kose"
"Q2891049","btm","Mandailing"
"Q12633026","bto","Rinconada Bikol"
"Q33190","bug","Bugis"
"Q16116629","bxr","Russia Buriat"
"Q33120","bxr","Buryat"
"Q716647","byq","Basay"
"Q716615","bzg","Babuza"
"Q3436689","bzs","Brazilian Sign Language"
"Q7026","ca","Catalan"
"Q32641","ca-valencia","Valencian"
"Q35115","cak","Kaqchikel"
"Q28427","cal","Carolinian"
"Q32174903","cbk-zam","Zamboanga Chavacano"
"Q33281","cbk-zam","Chavacano"
"Q32952","ccp","Chakma"
"Q107530840","ccp-beng","Chakma in Bengali script"
"Q36455","cdo","Eastern Min"
"Q33350","ce","Chechen"
"Q33239","ceb","Cebuano"
"Q33262","ch","Chamorro"
"Q35173","chn","Chinook Jargon"
"Q32979","cho","Choctaw"
"Q33388","chr","Cherokee"
"Q145625","chu","Glagolitic"
"Q33265","chy","Cheyenne"
"Q36811","ckb","Sorani"
"Q33170","ckt","Chukchi"
"Q716627","ckv","Kavalan"
"Q28535","clc","Chilcotin"
"Q3250286","cnh","Hakha–Chin"
"Q8821","cnr","Montenegrin"
"Q33111","co","Corsican"
"Q36155","cop","Coptic"
"Q2937525","cps","Capiznon"
"Q56583","cpx","Pu-Xian Min"
"Q33390","cr","Cree"
"Q33357","crh","Crimean Tatar"
"Q107557467","crh-cyrl","Crimean Tatar in Cyrillic script"
"Q107557485","crh-latn","Crimean Tatar in Latin script"
"Q12642195","crl","Northern East Cree"
"Q34015","crs","Seychellois Creole"
"Q9056","cs","Czech"
"Q33690","csb","Kashubian"
"Q33173","ctg","Chittagonian"
"Q25704993","cu","Church Slavonic alphabet"
"Q33251","cu","Church Slavonic"
"Q108519491","cu","Slavonic musical notation"
"Q33348","cv","Chuvash"
"Q9309","cy","Welsh"
"Q9035","da","Danish"
