"production_companies","production_countries"
"Villealfa Filmproduction Oy","Finland"
"Miramax Films","United States of America"
"Universal Pictures","Japan"
"inLoops","Austria"
"Lucasfilm","United States of America"
"Pixar Animation Studios","United States of America"
"Paramount Pictures","United States of America"
"DreamWorks SKG","United States of America"
"RKO Radio Pictures","United States of America"
"Fine Line Features","Argentina"
"Constantin Film","Germany"
"Columbia Pictures","France"
"Paramount Pictures","Germany"
"El Deseo","Canada"
"Bruce Brown Films","United States of America"
"Walt Disney Pictures","United States of America"
"Universal Pictures","Germany"
"Lama Films","Israel"
"Revolution Films","United Kingdom"
"United Artists","United States of America"
"Studio 4°C","Japan"
"Malpaso Productions","United States of America"
"Gracie Films","United States of America"
"Anonymous Content","United States of America"
"Altavista Films","Mexico"
"Walt Disney Pictures","Jamaica"
"New Line Cinema","Germany"
"Stanley Kubrick Productions","United Kingdom"
"Universal Pictures","United States of America"
"Vía Digital","Spain"
"Imagine Entertainment","United States of America"
"Columbia Pictures","United States of America"
"Lama Films","France"
"Embassy International Pictures","United Kingdom"
"Tree Line Films","Germany"
"Lakeshore Entertainment","United States of America"
"BBC Films","France"
"New Line Cinema","United States of America"
"Tim Burton Productions","United States of America"
"Detour Film Production","Austria"
"Summit Entertainment","United States of America"
"Shaw Brothers","United States of America"
"Beijing New Picture Film Co. Ltd.","China"
"Castle Rock Entertainment","United States of America"
"Topcraft","Japan"
"Universal Pictures","Uruguay"
"Plunge Pictures LLC","United States of America"
"MOOVIE - the art of entertainment GmbH","Germany"
"Great American Films Limited Partnership","United States of America"
"Ramón Acín","Spain"
"Hamburger Filmschule","Germany"
"Jerry Bruckheimer Films","United States of America"
"DreamWorks SKG","United Kingdom"
"Renn Productions","France"
"Handmade Films Ltd.","United Kingdom"
"Zentropa Entertainments","Denmark"
"Columbia Pictures Corporation","United States of America"
"X-Filme Creative Pool","Germany"
"Twentieth Century Fox Film Corporation","United States of America"
"Columbia Pictures Corporation","United Kingdom"
"France 3 Cinéma","France"
"Le Studio Canal+","France"
"Zespół Filmowy TOR","France"
"LJ Film","South Korea"
"Touchstone Pictures","United States of America"
"Gramercy Pictures","United Kingdom"
"DreamWorks","Ireland"
"Village Roadshow Pictures","Australia"
"WingNut Films","New Zealand"
"P.P. Film Polski","Poland"
"WFD","Poland"
"Miramax Films","Japan"
"Studio Ghibli","Japan"
"The Criterion Collection","United States of America"
"Drew Associates","none"
"Universal Pictures","France"
"Docurama","United Kingdom"
"Metro-Goldwyn-Mayer (MGM)","United States of America"
"Nimbus Film Productions","Denmark"
"Televisión Española TVE","Spain"
"Pandora Cinema","United States of America"
"River Road Entertainment","Canada"
"Road Movies Filmproduktion GmbH","Germany"
"Trust Film","Denmark"
"Sony Pictures Classics","China"
"Les Films du Carrosse","France"
"Hotshot Films","Spain"
"Bandai Visual Company","Japan"
"American Zoetrope","Japan"
"DC Comics","United Kingdom"
"Les Films du Losange","Denmark"
"Touchstone","Belgium"
"Lumière","France"
"Village Roadshow Pictures","United States of America"
"Jurow-Shepherd","United States of America"
"Gaumont","France"
"Intermedia Films","Germany"
"DNA Films","United Kingdom"
"Walt Disney Productions","United States of America"
"Lions Gate Films","United States of America"
"TriStar Pictures","United States of America"
"Trilogy Entertainment Group","United States of America"
"Warner Bros.","United States of America"
"Hawk Films","United Kingdom"
"The Weinstein Company","Germany"
"Dimension Films","United States of America"
"Schramm Film Koerner & Weber","Germany"
"Zweites Deutsches Fernsehen (ZDF)","France"
"Icon Entertainment International","United States of America"
"Scorsese Productions","United States of America"
"Véra Films","France"
"Lions Gate Films","Canada"
"Luna Filmproduktion","Germany"
"Orion Pictures","United Kingdom"
"El Deseo","Spain"
"Deutsche Vereinsfilm AG","Germany"
"Selznick International Pictures","United States of America"
"Film Polski Film Agency","Poland"
"Zespól Filmowy """"X""""","Poland"
"Fox Searchlight Pictures","United States of America"
"American Zoetrope","United States of America"
"Universum Film (UFA)","Germany"
"Section Eight","United States of America"
"Orion Pictures Corporation","United States of America"
"Decla Film Gesellschaft Holz & Co.","Germany"
"Ciby 2000","Australia"
"Recorded Picture Company (RPC)","France"
"The Mirisch Corporation","United States of America"
"Regency Enterprises","United States of America"
"Paramount Pictures","Italy"
"Buena Vista","United Kingdom"
"Universal Pictures","United Kingdom"
"Office Kitano","Japan"
"Franton Production","United States of America"
"Steen Herdel Filmproduktion","Denmark"
"United Artists","United Kingdom"
"Ulysse Production","France"
"R.P. Productions","Czech Republic"
"Valoria Films","France"
"Gaumont British Picture Corporation","United Kingdom"
"Avon Production","United States of America"
"Roxy Film","Germany"
"Rome Paris Films","France"
"El Deseo","France"
"PolyGram Filmed Entertainment","United Kingdom"
"Société Nouvelle de Cinématographie","France"
"miko-film","Germany"
"AB Svenska Ord","Norway"
"Cameo Film- und Fernsehproduktion","Germany"
"Orion Pictures","United States of America"
"PolyGram Filmed Entertainment","United States of America"
"Y3 Film","Austria"
"Lakeshore Entertainment","Germany"
"Lightstorm Entertainment","France"
"Lightstorm Entertainment","United States of America"
"Little Shark Entertainment GmbH","Germany"
"Twentieth Century Fox Film Corporation","United Kingdom"
"Yari Film Group","United States of America"
"The Samuel Goldwyn Company","United States of America"
"Columbia Pictures","Germany"
"France 2 Cinéma","France"
"Minerva Film SpA","Italy"
"Bac Films","France"
"Nordic Film","Denmark"
"Warner Bros.","Italy"
"Revolution Films","Canada"
"Eve Productions Inc.","United States of America"
"Peter Rommel Productions","Germany"
"Coop 99","Bosnia and Herzegovina"
"Kintop Pictures","United States of America"
"Davis-Films","United States of America"
"icon","Canada"
"Bandai Visual Company","United Kingdom"
"Universal Studios","United States of America"
"Different Tree Same Wood Productions","Canada"
"Paramount Pictures","Spain"
"United Artists","Italy"
"ARP Sélection","France"
"WDR","Germany"
"Channel Four Films","Germany"
"Stillking Films","United States of America"
"Claussen + Wöbke Filmproduktion GmbH","Germany"
"Senator Film Produktion","Germany"
"Hobby Films","United Kingdom"
"Toho Company","Japan"
"Filmstudio Berlin","Germany"
"Rommel Film","Germany"
"Corazón International","Germany"
"Radiant Film GmbH","Germany"
"Road Movies Filmproduktion","Germany"
