"AwardCeremony","FilmID","FilmName","Year","Rated","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Service","AFISilver","Theater","Watchlist","Nominations","Losses","Wins","wiki_title","wikibase_item","Studio","Distributor"
"01-1929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,NA,NA,NA,NA
"04-1931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"05-1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"06-1934","tt0023854","Building a Building",1933,"Not Rated","7 min","Animation, Short, Comedy","David Hand","N/A","Pinto Colvig, Walt Disney, Marcellite Garner","Mickey Mouse operates a steam shovel; Pegleg Pete is his foreman; Minnie Mouse sells box lunches. Mickey must save the day when Pete makes advances to Minnie.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYWNiYmZkN2UtOTg4My00N2Q2LWEyNDMtMWVlODFjZWQ0MTIxXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","N/A","7.1","780","tt0023854","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"06-1934","tt0142655","The Merry Old Soul",1933,"N/A","8 min","Animation, Short, Comedy","Walter Lantz, William Nolan","Walter Lantz","Tex Avery, Walter Lantz","Oswald the Rabbit gathers some of the greatest entertainers of the age to cure Old King Cole of the blues.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZWNkYTQzOWYtY2EyOS00ODFhLWI2NDYtNGNmZjQzODU4NTFlXkEyXkFqcGdeQXVyNjc2NjkzNTg@._V1_SX300.jpg","N/A","6.0","232","tt0142655","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"06-1934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"09-1937","tt0026880","Popular Science",1935,"Approved","11 min","Short","Robert Carlisle","N/A","Gayne Whitman","Considers marvels of modern science: contact lenses, kitchen gadgets, bubble bath (with cheesecake), diatoms, Boulder Dam.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.2","13","tt0026880","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"10-1938","tt0029151","The Little Match Girl",1937,"N/A","8 min","Animation, Short, Drama","Arthur Davis, Sid Marcus","Hans Christian Andersen, Arthur Davis, Cal Howard","N/A","A small girl makes her living selling matches on the streets of New York. It's winter, and the hustling crowds at best ignore her, and some are outright rude. She takes shelter and, to try to stave off the cold a bit, lights a match.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNDg2YWI0NjUtNTFkZC00ZmU2LTk5ZTAtZjgwOWMwYzkxY2FjXkEyXkFqcGdeQXVyNjc2NjkzNTg@._V1_SX300.jpg","N/A","7.0","321","tt0029151","movie",NA,NA,NA,NA,"7.0/10",NA,NA,9,2022-02-24,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"10-1938","tt0029416","Popular Science",1937,"Approved","10 min","Documentary, Short","N/A","Gayne Whitman","Gayne Whitman","Raising angora rabbits for wool; new marine navigation and safety technology; kitchen gadgets; developing new rose varieties.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.2","16","tt0029416","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"11-1939","tt0030250","Hunky and Spunky",1938,"Not Rated","9 min","Animation, Short, Western","Dave Fleischer, Myron Waldman","N/A","Jack Mercer","A short film about a mother and her son, she teaches him life skills later on the son gets niked by a man so the young donkey can be his work slave and his mother saves him.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZGMwNGE0MWEtNzg5MS00ZDU2LWE5OTQtZTQ4ZTcxMDhlNzkwXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg","N/A","5.6","264","tt0030250","movie",NA,NA,NA,NA,"5.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
