"title","wikibase_item","CompanyID"
"Mark Cuban","Q318503","co0005596"
"Mark Cuban","Q318503","co0005596"
"Zach Galifianakis","Q139325","co0144901"
"List of Hallmark Channel Original Movies","Q6572791","co0032922"
"List of Hallmark Channel Original Movies","Q6572791","co0069955"
"Anil Ambani","Q381748","co0336601"
"Northwestern University","Q309350","co0128376"
"Northwestern University","Q309350","co0128376"
"Cloud Atlas (film)","Q28936","co0066028"
"Toei Animation","Q730179","co0062107"
"The Elephant Man (film)","Q272860","co0069496"
"Tom Hayden","Q352953","co0059553"
"Toho","Q875920","co0002219"
"Torquay","Q209055","co0014269"
"Torquay","Q209055","co0014269"
"Torquay","Q209055","co0035914"
"Torquay","Q209055","co0035914"
"Frederator Studios","Q651120","co0398893"
"Steve Oedekerk","Q562063","co0009845"
"Ayngaran International","Q4831520","co0110172"
"Expedition Unknown","Q19263605","co0245666"
"Viva Films","Q7907096","co0046157"
"List of National Lampoon films","Q6591456","co0184093"
"List of National Lampoon films","Q6591456","co0102282"
"Generation War","Q7903650","co0053177"
"American International Pictures","Q465224","co0002353"
"Navketan Films","Q3337325","co0108259"
"Dickson Poon","Q5273802","co0020462"
"Nora Aunor","Q938423","co0087869"
"Nora Aunor","Q938423","co0087869"
"Nora Aunor","Q938423","co0048652"
"Nora Aunor","Q938423","co0048652"
"DuMont Television Network","Q1262316","co0071248"
"Ronald D. Moore","Q549942","co0303436"
"Ronald D. Moore","Q549942","co0303436"
"Boulting brothers","Q3181105","co0103294"
"Amitabh Bachchan Corporation","Q4746909","co0100445"
"Michael Copon","Q561324","co0469556"
"The Rank Organisation","Q1535788","co0021421"
"Mitchell brothers","Q351284","co0292071"
"Outland (film)","Q239794","co0065961"
"Psychopathic Records","Q2116093","co0090882"
"Psychopathic Records","Q2116093","co0090882"
"Powell and Pressburger","Q3400831","co0103153"
"American Zoetrope","Q467348","co0020958"
"American Zoetrope","Q467348","co0035894"
"Working Title Films","Q2060840","co0026907"
"List of Hanna-Barbera characters","Q3900312","co0024579"
"Bilal Saeed","Q23397269","co0971092"
"Shree Venkatesh Films","Q7503531","co0107097"
"Color motion picture film","Q941530","co0002739"
"Passionflix","Q93425814","co0633232"
"Eddie Romero","Q2470168","co0078790"
"Syco Entertainment","Q2755989","co0164569"
"Spümcø","Q4049985","co0052166"
"Gary Sanchez Productions","Q3098606","co0186190"
"Kidsongs","Q6405035","co0152386"
"Dogtanian and the Three Muskehounds","Q930079","co0176141"
"The Opening of Misty Beethoven","Q1554545","co0055927"
"Showtime at the Apollo","Q7503321","co0020039"
"London Borough of Merton","Q32504","co0135632"
"List of Troma films","Q6600677","co0019150"
"Frank Gotch","Q742936","co0224626"
"P.A. Works","Q1584469","co0185049"
"Blindlight","Q4926700","co0117290"
"Soft On Demand","Q940789","co0097320"
"Soft On Demand","Q940789","co0097320"
"Don Kirshner","Q1239246","co0116404"
"12 oz. Mouse","Q919447","co0179915"
"12 oz. Mouse","Q919447","co0179915"
"Topcraft","Q3532077","co0063380"
"Galaxina","Q960224","co0077329"
"Booker Group","Q4943180","co0103987"
"World of Wonder (company)","Q8036645","co0093416"
"Mutant Enemy Productions","Q645478","co0009514"
"Dream Warrior Pictures","Q24905008","co0385102"
"Mikros Animation","Q3313794","co0518896"
"Mikros Animation","Q3313794","co0030249"
"Title sequence","Q441606","co0058110"
"History of computer animation","Q5867556","co0143869"
"Justin Simien","Q18386329","co0641303"
"Lucile Hadžihalilović","Q45306","co0007481"
"Lucile Hadžihalilović","Q45306","co0007481"
"Fangoria","Q5433849","co0060480"
"Fangoria","Q5433849","co0060480"
"Saving Christmas","Q18355659","co0558131"
"Saving Christmas","Q18355659","co0558131"
"Bardel Entertainment","Q5719536","co0111280"
"A Cook's Tour (TV series)","Q3618482","co0009397"
"WingNut Films","Q3569323","co0046203"
"WingNut Films","Q3569323","co0046203"
"John Linson","Q21063029","co0292355"
"List of films produced and released by Viva Films","Q56550747","co0046157"
"Splash Entertainment","Q3857481","co0004340"
"KQEH","Q6336174","co0090678"
"October Films","Q3880776","co0017323"
"S. S. Chakravarthy","Q7387844","co0143281"
"Famous Players–Lasky","Q3739165","co0047533"
"Edwin S. Porter","Q347864","co0000686"
"Edwin S. Porter","Q347864","co0013235"
"Mark Bailey (writer)","Q29938796","co0271973"
"Remote Control Productions (American company)","Q1852854","co0180336"
"The Adventure Series","Q319083","co0004240"
"PFFR","Q7119088","co0149671"
"A.k.a. Cartoon","Q3491471","co0030219"
"SEK Studio","Q1050337","co0157788"
"View Askew Productions","Q2700070","co0007545"
"The Road (2011 film)","Q7761050","co0284257"
"Prabhat Film Company","Q7237232","co0119015"
"List of television series and films based on Dark Horse Comics publications","Q378189","co0020061"
"Cube Vision","Q20732455","co0044714"
"Paul Crouch Jr.","Q7150034","co0419306"
"Nitrogen Studios","Q28232810","co0209433"
"Jorge Vergara","Q729642","co0040776"
"Roadshow Entertainment","Q7339664","co0006451"
"Timothy Gibbs","Q3991508","co0127356"
"Crypt TV","Q55608616","co0524024"
"Lois Weber","Q462440","co0134936"
"Fotomat","Q5474000","co0173950"
"Shintoho","Q3959532","co0038715"
"Skellington Productions","Q3486223","co0137804"
"Extreme Associates","Q5422311","co0079879"
"Entertainment Film Distributors","Q5380451","co0125150"
"Entertainment Film Distributors","Q5380451","co0025854"
"Fred Wolf Films","Q5496586","co0061868"
"Fred Wolf Films","Q5496586","co0015867"
"Fred Wolf Films","Q5496586","co0034491"
"Burbank Animation Studios","Q4998158","co0101137"
"Tollin/Robbins Productions","Q2406051","co0099647"
"Conway Recording Studios","Q5166721","co0152961"
"Alice Japan","Q1085717","co0206385"
"Shree Ashtavinayak Cine Vision","Q7503472","co0108404"
"Dennis Tufano","Q5259019","co0030925"
"Victor & Hugo: Bunglers in Crime","Q5236035","co0246919"
"Don Murphy","Q2270687","co0000612"
"Gaumont Animation","Q1402977","co0285075"
"The Mark Gordon Company","Q17335732","co0085751"
"ELP Communications","Q5323317","co0090287"
"ELP Communications","Q5323317","co0128193"
"ELP Communications","Q5323317","co0020869"
"ELP Communications","Q5323317","co0046830"
