"QID","itemLabel","itemDescription","article"
"Q1173711","Eiken","Japanese animation studio","https://en.wikipedia.org/wiki/Eiken_(studio)"
"Q1188369","First National","film production company (1917-1936)","https://en.wikipedia.org/wiki/First_National_Pictures"
"Q595808","Kitty Films","Japanese animation studio","https://en.wikipedia.org/wiki/Kitty_Films"
"Q511108","Royal National Theatre","theatre company in London, Great Britain","https://en.wikipedia.org/wiki/Royal_National_Theatre"
"Q72081","Ealing Studios","television and film production company/studio (until 1956 at the same location)","https://en.wikipedia.org/wiki/Ealing_Studios"
"Q1337530","Universal Television","television production arm of the NBCUniversal Television and Streaming","https://en.wikipedia.org/wiki/Universal_Television"
"Q703955","Deutsches Theater","theatre company in Berlin, Germany","https://en.wikipedia.org/wiki/Deutsches_Theater_(Berlin)"
"Q477943","Bad Hat Harry Productions","American film and television production company","https://en.wikipedia.org/wiki/Bad_Hat_Harry_Productions"
"Q81965","General Motors","automotive manufacturing corporation based in Detroit, Michigan, USA","https://en.wikipedia.org/wiki/General_Motors"
"Q467348","American Zoetrope","American film production studio","https://en.wikipedia.org/wiki/American_Zoetrope"
"Q515708","DIC Entertainment Corporation","international film and television production company","https://en.wikipedia.org/wiki/DIC_Entertainment"
"Q138908","Bolshoi Theatre","historic theatre in Moscow, Russia","https://en.wikipedia.org/wiki/Bolshoi_Theatre"
"Q798768","Bad Robot Productions","American film and television production company","https://en.wikipedia.org/wiki/Bad_Robot_Productions"
"Q1173719","Studio Comet","Japanese animation studio","https://en.wikipedia.org/wiki/Studio_Comet"
"Q705551","Art Gallery of New South Wales","public art gallery in New South Wales, Australia","https://en.wikipedia.org/wiki/Art_Gallery_of_New_South_Wales"
"Q598841","Monash University","public university based in Melbourne, Australia","https://en.wikipedia.org/wiki/Monash_University"
"Q496797","Folimage","animation studio","https://en.wikipedia.org/wiki/Folimage"
"Q662814","FOX8","Australian cable and satellite channel","https://en.wikipedia.org/wiki/Fox8"
"Q168383","Universal Pictures","American film studio","https://en.wikipedia.org/wiki/Universal_Pictures"
"Q167186","National Geographic Society","American non-profit scientific and educational institution","https://en.wikipedia.org/wiki/National_Geographic_Society"
"Q961397","Group TAC","Japanese animation studio","https://en.wikipedia.org/wiki/Group_TAC"
"Q821795","Berliner Synchron","German post-production dubbing company","https://en.wikipedia.org/wiki/Berliner_Synchron"
"Q664991","ABC Television Limited","Early British commercial tv company","https://en.wikipedia.org/wiki/ABC_Weekend_TV"
"Q922453","Mr. Mudd","film production company","https://en.wikipedia.org/wiki/Mr._Mudd"
"Q678058","1492 Pictures","American film production company","https://en.wikipedia.org/wiki/1492_Pictures"
"Q806575","Banijay","French entertainment content production and distribution company","https://en.wikipedia.org/wiki/Banijay"
"Q730179","Toei Animation","Japanese animation studio","https://en.wikipedia.org/wiki/Toei_Animation"
"Q927373","Prague Conservatory","music school in Prague, Czech Republic","https://en.wikipedia.org/wiki/Prague_Conservatory"
"Q771272","Worldvision Enterprises","American television program distributor","https://en.wikipedia.org/wiki/Worldvision_Enterprises"
"Q169889","American Broadcasting Company","American broadcast television network owned by The Walt Disney Company","https://en.wikipedia.org/wiki/American_Broadcasting_Company"
"Q775450","Lightstorm Entertainment","American production company","https://en.wikipedia.org/wiki/Lightstorm_Entertainment"
"Q75533","National Film Development Corporation of India","Indian government agency to faciliate quality cinema","https://en.wikipedia.org/wiki/National_Film_Development_Corporation_of_India"
"Q117555","Nimbus Film","film production company","https://en.wikipedia.org/wiki/Nimbus_Film"
"Q1314323","Laika","American stop-motion animation studio","https://en.wikipedia.org/wiki/Laika_(company)"
"Q488710","Mezhrabpom-Film","German-Russian film studio (1928-1936)","https://en.wikipedia.org/wiki/Mezhrabpomfilm"
"Q688333","TNT","American pay television channel","https://en.wikipedia.org/wiki/TNT_(American_TV_network)"
"Q1348264","Hollywood Pictures","division of Walt Disney Company","https://en.wikipedia.org/wiki/Hollywood_Pictures"
"Q919112","B.E.F.","British band and music production company","https://en.wikipedia.org/wiki/British_Electric_Foundation"
