"QID","countryLabel"
"Q158948","Germany"
"Q187286","Germany"
"Q190473","Nazi Germany"
"Q127990","Australia"
"Q266276","Germany"
"Q392569","Germany"
"Q262930","Austria"
"Q279622","Austria"
"Q422105","Germany"
"Q441021","Germany"
"Q141336","Russia"
"Q158478","Russia"
"Q390216","Australia"
"Q474369","Austria"
"Q495107","Serbia"
"Q264249","Hungary"
"Q426078","Spain"
"Q439623","Italy"
"Q190804","Netherlands"
"Q177955","Sweden"
"Q495396","Italy"
"Q75533","India"
"Q117555","Denmark"
"Q273419","France"
"Q191158","Denmark"
"Q362280","France"
"Q182361","Japan"
"Q182950","Japan"
"Q197069","Japan"
"Q201487","Japan"
"Q496797","France"
"Q277763","Japan"
"Q306422","Japan"
"Q307291","Japan"
"Q341134","Czech Republic"
"Q421414","Japan"
"Q465449","Japan"
"Q72081","United Kingdom"
"Q428457","Canada"
"Q461761","Canada"
"Q489899","South Korea"
"Q490687","South Korea"
"Q200976","United Kingdom"
"Q219135","United Kingdom"
"Q301092","United Kingdom"
"Q470851","United Kingdom"
"Q79202","United States of America"
"Q81965","United States of America"
"Q116439","United States of America"
"Q126399","United States of America"
"Q127552","United States of America"
"Q157118","United States of America"
"Q159846","United States of America"
"Q160236","United States of America"
"Q166419","United States of America"
"Q167186","United States of America"
"Q168383","United States of America"
"Q169889","United States of America"
"Q179200","United States of America"
"Q186941","United States of America"
"Q188740","United States of America"
"Q191224","United States of America"
"Q192557","United States of America"
"Q219400","United States of America"
"Q238101","United States of America"
"Q242446","United States of America"
"Q267282","United States of America"
"Q287218","United States of America"
"Q332498","United States of America"
"Q341973","United States of America"
"Q367466","United States of America"
"Q369786","United States of America"
"Q371400","United States of America"
"Q386442","United States of America"
"Q434841","United States of America"
"Q456294","United States of America"
"Q457893","United States of America"
"Q463665","United States of America"
"Q465224","United States of America"
"Q465449","United States of America"
"Q465832","United States of America"
"Q465893","United States of America"
"Q466459","United States of America"
"Q467348","United States of America"
"Q477943","United States of America"
"Q495107","United States of America"
"Q158478","Soviet Union"
"Q488710","Soviet Union"
"Q540172","Germany"
"Q541569","People's Republic of China"
"Q564960","Germany"
"Q551580","Turkey"
"Q601408","People's Republic of China"
"Q609069","Germany"
"Q641497","Germany"
"Q648034","Germany"
"Q670804","Germany"
"Q547341","Australia"
"Q618491","Finland"
"Q618489","Finland"
"Q676498","Germany"
"Q704497","Germany"
"Q598841","Australia"
"Q731055","Germany"
"Q718996","Turkey"
"Q623578","Australia"
"Q662814","Australia"
"Q705551","Australia"
"Q705557","Australia"
"Q750168","Austria"
"Q769416","Australia"
"Q781404","Australia"
"Q782783","Australia"
"Q574625","Russia"
"Q644469","Italy"
"Q679912","Russia"
"Q771529","German Reich"
"Q497661","India"
"Q721246","Sweden"
"Q507806","Japan"
"Q511660","Japan"
"Q548166","Japan"
"Q557471","Japan"
"Q595808","Japan"
"Q611346","Japan"
"Q645476","Japan"
"Q650867","Japan"
"Q657931","Japan"
"Q730179","Japan"
"Q735670","Japan"
"Q749550","Japan"
"Q770328","Japan"
"Q626185","South Korea"
"Q520445","United Kingdom"
"Q541667","United Kingdom"
"Q664991","United Kingdom"
"Q723759","United Kingdom"
"Q577589","Ukraine"
"Q497155","United States of America"
"Q500088","United States of America"
"Q511731","United States of America"
"Q512858","United States of America"
"Q515708","United States of America"
"Q527751","United States of America"
"Q540122","United States of America"
"Q544150","United States of America"
"Q557387","United States of America"
"Q567633","United States of America"
"Q575024","United States of America"
"Q604775","United States of America"
"Q606359","United States of America"
"Q615141","United States of America"
"Q618091","United States of America"
"Q621364","United States of America"
"Q622848","United States of America"
"Q624886","United States of America"
"Q626178","United States of America"
"Q632323","United States of America"
"Q640786","United States of America"
"Q642996","United States of America"
"Q645478","United States of America"
"Q649649","United States of America"
"Q650331","United States of America"
"Q651228","United States of America"
"Q651454","United States of America"
"Q652390","United States of America"
"Q654762","United States of America"
"Q678058","United States of America"
"Q682748","United States of America"
"Q688333","United States of America"
"Q724622","United States of America"
"Q739627","United States of America"
"Q746676","United States of America"
"Q771272","United States of America"
"Q774682","United States of America"
"Q775450","United States of America"
"Q798768","United States of America"
"Q821795","Germany"
"Q821837","Germany"
"Q827462","Germany"
"Q821063","Nazi Germany"
"Q835486","Germany"
"Q878698","Germany"
"Q880187","Germany"
"Q886871","Germany"
"Q896183","Germany"
"Q922787","Germany"
"Q947354","People's Republic of China"
"Q877706","Austria"
"Q1015642","Germany"
"Q1026988","Germany"
"Q1028496","Germany"
"Q892897","Austria"
"Q1088324","Germany"
"Q1092344","Germany"
"Q1092353","Germany"
"Q1092475","Germany"
"Q1127827","Germany"
"Q1131926","Germany"
"Q1152927","Belgium"
"Q1030364","Austria"
"Q1057890","Australia"
"Q1022286","Switzerland"
"Q1117048","Australia"
"Q1124579","Switzerland"
"Q1012251","Russia"
"Q1140147","Argentina"
"Q806575","France"
"Q851184","Netherlands"
"Q841730","France"
"Q1161600","Hungary"
"Q913462","France"
"Q813988","Japan"
"Q834328","Japan"
"Q834471","Japan"
"Q844822","Japan"
"Q854654","Japan"
"Q1146587","Sweden"
"Q877325","Japan"
"Q908915","Japan"
"Q947930","Japan"
"Q950479","Japan"
"Q960422","Japan"
"Q961397","Japan"
"Q1051884","Japan"
"Q1054807","Japan"
"Q1065717","Japan"
"Q1087539","Japan"
"Q1136386","Japan"
"Q1137522","Japan"
"Q1150943","Japan"
"Q1150515","Poland"
"Q971446","United Kingdom"
"Q984047","United Kingdom"
"Q1074681","United Kingdom"
"Q1136277","United Kingdom"
"Q1165638","United Kingdom"
"Q822314","United States of America"
"Q844652","United States of America"
"Q858803","United States of America"
"Q861764","United States of America"
"Q885885","United States of America"
"Q891732","United States of America"
"Q905791","United States of America"
"Q907311","United States of America"
"Q908662","United States of America"
"Q912601","United States of America"
"Q917869","United States of America"
"Q921556","United States of America"
"Q925249","United States of America"
"Q925642","United States of America"
"Q951774","United States of America"
"Q953040","United States of America"
"Q966852","United States of America"
"Q984047","United States of America"
"Q1033465","United States of America"
"Q1047410","United States of America"
"Q1093997","United States of America"
"Q1102919","United States of America"
"Q1111024","United States of America"
"Q1118859","United States of America"
"Q1136177","United States of America"
"Q1138789","United States of America"
"Q1148711","United States of America"
"Q1149935","United States of America"
"Q1152955","United States of America"
"Q1156642","United States of America"
"Q1163074","United States of America"
"Q1050337","North Korea"
"Q1183541","Germany"
"Q1201753","Germany"
"Q1203415","Germany"
"Q1233678","Germany"
"Q1235358","Germany"
"Q1254356","Germany"
"Q1257223","Germany"
"Q1258701","Turkey"
"Q1286620","Germany"
"Q1290581","Germany"
"Q1302030","Germany"
